OWNER;TABLE_NAME;NUM_ROWS;DUPLICATED;COLUMN_ID;COLUMN_NAME;DATA_TYPE;DATA_LENGTH;NULLABLE;DATA_SCALE;AVG_COL_LEN;NUM_DISTINCT;NUM_NULLS;DEFAULT_ON_NULL;COMMENTS;CONSTRAINTS
CONTA_CORRENTE;ARQUIVO_ETL;3694;N;3;DAT_CRIACAO_ARQUIVO;DATE;7;Y;;8;1066;0;NO;Data/hora de cria��o do arquivo; (: )
CONTA_CORRENTE;ARQUIVO_ETL;3694;N;2;NOM_ARQUIVO_ETL;VARCHAR2;100;N;;36;3535;0;NO;Nome do arquivo;SYS_C001551459 (C: ENABLED)
CONTA_CORRENTE;ARQUIVO_ETL;3694;N;1;SEQ_ARQUIVO_ETL;NUMBER;22;N;0;5;3694;0;NO;Sequencial da tabela;PK_ARQUIVO_ETL (PRIMARY KEY: ENABLED)- SYS_C001551458 (C: ENABLED)
CONTA_CORRENTE;ARQUIVO_ETL;3694;N;4;TIP_ARQUIVO;VARCHAR2;30;Y;;23;8;0;NO;Tipo do Arquivo; (: )
CONTA_CORRENTE;AUDITORIA_ENTIDADES;53683283;N;2;COD_MATRICULA_USUARIO;VARCHAR2;255;Y;;3;1027;42136562;NO;guarda o codigo da matricula do usuario; (: )
CONTA_CORRENTE;AUDITORIA_ENTIDADES;53683283;N;3;DAT_DATA_MODIFICACAO;DATE;7;Y;;8;7895552;0;NO;Data e hora da inclusao/alteracao do registro.; (: )
CONTA_CORRENTE;AUDITORIA_ENTIDADES;53683283;N;4;DAT_TIMESTAMP;TIMESTAMP(6);11;Y;6;11;52830208;0;NO;Representacao numerica do campo DAT_DATA_MODIFICACAO, exigido pelo hibernate.; (: )
CONTA_CORRENTE;AUDITORIA_ENTIDADES;53683283;N;1;SEQ_AUDITORIA;NUMBER;22;N;0;6;53683283;0;NO;guarda a sequencia da auditoria;PK_AUDITORIA_ENTIDADES (PRIMARY KEY: ENABLED)- SYS_C001518469 (C: ENABLED)
CONTA_CORRENTE;CNAE_LEI_DESCONTO;17;N;2;COD_CAE;NUMBER;22;N;0;6;17;0;NO;CNAE relacionado na Lei;FK_CAE_R_CNAE_LEI (FOREIGN KEY: ENABLED)- PK_CNAE_LEI_DESCONTO (PRIMARY KEY: ENABLED)- SYS_C001551483 (C: ENABLED)
CONTA_CORRENTE;CNAE_LEI_DESCONTO;17;N;1;SEQ_LEI_DESCONTO;NUMBER;22;N;0;4;1;0;NO;Sequencial da tabela;FK_LEI_DESCONTO_R_CNAE_LEI (FOREIGN KEY: ENABLED)- PK_CNAE_LEI_DESCONTO (PRIMARY KEY: ENABLED)- SYS_C001551482 (C: ENABLED)
CONTA_CORRENTE;DEBITO;91996535;N;4;COD_INDICADOR;NUMBER;22;Y;0;3;1;95196;NO;C�digo do Indicador Financeiro;FK_IND_FIN_R_DEB (FOREIGN KEY: ENABLED)
CONTA_CORRENTE;DEBITO;91996535;N;5;COD_PRODUTO_SERVICO;NUMBER;22;Y;0;0;0;91996535;NO;C�digo de produto/servi�o ( COD-PRODUTO-SERVICO );FK_PRO_SER_R_DEB (FOREIGN KEY: ENABLED)
CONTA_CORRENTE;DEBITO;91996535;N;3;COD_RECEITA;NUMBER;22;Y;0;4;17;0;NO;C�digo da receita ( COD-RECEITA-CRD );FK_COD_REC_R_DEB (FOREIGN KEY: ENABLED)
CONTA_CORRENTE;DEBITO;91996535;N;8;DAT_CORRECAO;DATE;7;Y;;3;5206;75434641;NO;Data para armazenamento da data de corre��o.; (: )
CONTA_CORRENTE;DEBITO;91996535;N;12;DAT_INCLUSAO;DATE;7;N;;8;7384;0;NO;Campo com a data de inclus�o do d�bito.;SYS_C001517479 (C: ENABLED)
CONTA_CORRENTE;DEBITO;91996535;N;7;DAT_VENCIMENTO;DATE;7;N;;8;5187;0;NO;Campo para armazenamento da data de vencimento do d�bito.;SYS_C001517476 (C: ENABLED)
