OWNER;TABLE_NAME;NUM_ROWS;DUPLICATED;COLUMN_ID;COLUMN_NAME;DATA_TYPE;DATA_LENGTH;NULLABLE;DATA_SCALE;AVG_COL_LEN;NUM_DISTINCT;NUM_NULLS;DEFAULT_ON_NULL;COMMENTS;CONSTRAINTS
IPVA2;ANALISE_RESTITUICAO;12837;N;4;DAT_ANALISE;DATE;7;Y;;8;12824;0;NO;Data da an�lise da Restitui��o;SYS_C00116557 (C: ENABLED)
IPVA2;ANALISE_RESTITUICAO;12837;N;1;SEQ_ANALISE_RESTITUICAO;NUMBER;22;N;0;5;12837;0;NO;Identificador �nico da tabela , alimentado pela SE_ANALISE_RESTITUICAO;PK_ANALISE_RESTITUICAO (PRIMARY KEY: ENABLED)- SYS_C00116553 (C: ENABLED)
IPVA2;ANALISE_RESTITUICAO;12837;N;2;SEQ_PROCESSO;NUMBER;22;Y;0;5;6856;0;NO;Identificador referenciado da restituicao.;FK_RESTITU_R_ANA_REST (FOREIGN KEY: ENABLED)- SYS_C00116554 (C: ENABLED)
IPVA2;ANALISE_RESTITUICAO;12837;N;3;SEQ_USUARIO;NUMBER;22;Y;0;5;25;0;NO;Identificador referenciado do Usu�rio que realizou a an�lise;SYS_C00116555 (C: ENABLED)
IPVA2;ANALISE_RESTITUICAO;12837;N;5;TIP_ANALISE;CHAR;1;Y;;2;2;0;NO;Identiffica o tipo de an�lise que foi realizada, de restitui��o (R) ou de pagamento (P).;CKC_TIP_ANALISE_ANALISE_ (C: ENABLED)- SYS_C00116559 (C: ENABLED)
IPVA2;ANALISE_RESTITUICAO;12837;N;6;TXT_JUSTIFICATIVA;VARCHAR2;200;Y;;44;5992;39;NO;Justificativa para o indeferimento da restitui��o; (: )
IPVA2;AUDITA_CILINDRADA;0;N;5;DATA;DATE;7;Y;;0;0;0;NO;; (: )
IPVA2;AUDITA_CILINDRADA;0;N;4;PROGRAMA;VARCHAR2;30;Y;;0;0;0;NO;; (: )
IPVA2;AUDITA_CILINDRADA;0;N;3;TERMINAL;VARCHAR2;30;Y;;0;0;0;NO;; (: )
IPVA2;AUDITA_CILINDRADA;0;N;1;USUARIO;VARCHAR2;30;Y;;0;0;0;NO;; (: )
IPVA2;AUDITA_CILINDRADA;0;N;2;USUARIO_OS;VARCHAR2;30;Y;;0;0;0;NO;; (: )
IPVA2;AUDITORIA_ENTIDADES;102922432;N;2;COD_MATRICULA_USUARIO;VARCHAR2;255;Y;;6;1241;44491604;NO;guarda o codigo da matricula do usuario; (: )
IPVA2;AUDITORIA_ENTIDADES;102922432;N;3;DAT_DATA_MODIFICACAO;DATE;7;Y;;8;32143360;0;NO;Data e hora da inclusao/alteracao do registro.; (: )
IPVA2;AUDITORIA_ENTIDADES;102922432;N;4;DAT_TIMESTAMP;TIMESTAMP(6);11;Y;6;11;101531648;0;NO;Representacao numerica do campo DAT_DATA_MODIFICACAO, exigido pelo hibernate.; (: )
IPVA2;AUDITORIA_ENTIDADES;102922432;N;1;SEQ_AUDITORIA;NUMBER;22;N;0;7;102922432;0;NO;guarda a sequencia da auditoria;PK_AUDITORIA_ENTIDADES (PRIMARY KEY: ENABLED)- SYS_C001517585 (C: ENABLED)
IPVA2;AUTO_ESCOLA;1993;N;4;DAT_CADASTRO;DATE;7;N;;8;1639;0;NO;Data do cadastro do ve�culo na Autoescola.;SYS_C001527736 (C: ENABLED)
IPVA2;AUTO_ESCOLA;1993;N;2;NOM_RAZAO_SOCIAL;VARCHAR2;150;Y;;39;1144;0;NO;Nome da raz�o social da Autoescola.; (: )
IPVA2;AUTO_ESCOLA;1993;N;3;NUM_CNPJ;NUMBER;22;Y;0;9;367;0;NO;N�mero do CNPJ da Autoescola.; (: )
IPVA2;AUTO_ESCOLA;1993;N;5;NUM_EXERCICIO;NUMBER;22;N;0;4;6;0;NO;Identifica��o do ano de exerc�cio.;SYS_C001527737 (C: ENABLED)
IPVA2;AUTO_ESCOLA;1993;N;1;SEQ_AUTO_ESCOLA;NUMBER;22;N;0;5;1993;0;NO;Chave prim�ria da tabela.;PK_AUTO_ESCOLA (PRIMARY KEY: ENABLED)- SYS_C001527735 (C: ENABLED)
IPVA2;AUTO_ESCOLA;1993;N;6;TIP_MOTIVO;NUMBER;22;Y;0;3;1;0;NO;Tipo do motivo da atualiza��o do registro da Autoescola. Ex: 1: Cadastramento 2: Renova��o.;CKC_TIP_MOTIVO_AUTO_ESCOLA (C: ENABLED)
IPVA2;AUTO_ESCOLA;1993;N;7;TIP_SITUACAO_AUTO_ESCOLA;NUMBER;22;Y;0;3;1;0;NO;Tipo de situa��o da Autoescola Ex: 1: Ativa 2: Inativa.;CKC_TIP_SITUACAO_AUTO_ESCOLA (C: ENABLED)
IPVA2;CERTIDAO_QUITACAO;1750644;N;5;DAT_EMISSAO;DATE;7;Y;;8;1293824;0;NO;Data da emissao da certid�o; (: )
IPVA2;CERTIDAO_QUITACAO;1750644;N;4;DAT_VALIDADE_CERTIDAO;DATE;7;Y;;8;1094;0;NO;Validade da certidao; (: )
IPVA2;CERTIDAO_QUITACAO;1750644;N;2;NUM_CERTIDAO;NUMBER;22;Y;0;7;1562624;0;NO;Guarda o n�mero da certidao; (: )
IPVA2;CERTIDAO_QUITACAO;1750644;N;3;NUM_CHASSI;VARCHAR2;25;Y;;18;918656;0;NO;Guarda o n�mero do chassi; (: )
