OWNER;TABLE_NAME;NUM_ROWS;DUPLICATED;COLUMN_ID;COLUMN_NAME;DATA_TYPE;DATA_LENGTH;NULLABLE;DATA_SCALE;AVG_COL_LEN;NUM_DISTINCT;NUM_NULLS;DEFAULT_ON_NULL;COMMENTS;CONSTRAINTS
SETA;AGENCIA;;N;1;SEQ_AGENCIA;NUMBER;22;N;0;;;;NO;Sequ�ncial da Ag�ncia;PK_AGENCIA (PRIMARY KEY: ENABLED)- SYS_C00120476 (C: ENABLED)
SETA;AGENCIA;;N;2;SEQ_BANCO;NUMBER;22;N;0;;;;NO;SEQUENCIAL DA TABELA BANCO;AGENCIA_BANCO_FK (FOREIGN KEY: ENABLED)- SYS_C00120477 (C: ENABLED)
SETA;AGENCIA;;N;3;NUM_AGENCIA;NUMBER;22;N;0;;;;NO;;SYS_C00120478 (C: ENABLED)
SETA;AGENCIA;;N;4;NUM_DIGITO;VARCHAR2;2;N;;;;;NO;;SYS_C00120479 (C: ENABLED)
SETA;AGENCIA;;N;5;NOM_AGENCIA;VARCHAR2;20;N;;;;;NO;;SYS_C00120480 (C: ENABLED)
SETA;AGENCIA;;N;6;NUM_BANCO;NUMBER;22;N;0;;;;NO;;SYS_C00120481 (C: ENABLED)
SETA;BAIRRO;29034;N;1;SEQ_BAIRRO;NUMBER;22;N;0;5;29034;0;NO;;BAIRRO_PK (PRIMARY KEY: ENABLED)- SYS_C0073357 (C: ENABLED)
SETA;BAIRRO;29034;N;2;NOM_BAIRRO;VARCHAR2;80;N;;17;17968;0;NO;;SYS_C0073359 (C: ENABLED)
SETA;BANCO;171;N;1;NUM_BANCO;NUMBER;22;N;0;4;157;0;NO;;SYS_C00116424 (C: ENABLED)
SETA;BANCO;171;N;2;NOM_BANCO;VARCHAR2;60;N;;26;171;0;NO;;SYS_C00116425 (C: ENABLED)
SETA;BANCO;171;N;3;SEQ_BANCO;NUMBER;22;N;0;4;171;0;NO;;BANCO_PK (PRIMARY KEY: ENABLED)- SYS_C00116426 (C: ENABLED)
SETA;BANCO;171;N;4;STA_BANCO;NUMBER;22;Y;0;3;2;0;NO;; (: )
SETA;CAE;3724;N;1;COD_CAE;NUMBER;22;N;0;6;3724;0;NO;;CAE_PK (PRIMARY KEY: ENABLED)- SYS_C00126607 (C: ENABLED)
SETA;CAE;3724;N;2;DSC_CAE;VARCHAR2;60;N;;49;3537;0;NO;;SYS_C00126608 (C: ENABLED)
SETA;CAE;3724;N;3;COD_CNAE;NUMBER;22;Y;0;3;2;0;NO;; (: )
SETA;CAE;3724;N;4;DSC_CNAE;VARCHAR2;60;Y;;0;0;3724;NO;; (: )
SETA;CAE;3724;N;5;NOM_CAE;VARCHAR2;200;Y;;93;2645;1031;NO;; (: )
SETA;CAE;3724;N;6;STA_ICMS_TRIBUTADO;VARCHAR2;1;Y;;2;4;1031;NO;; (: )
SETA;CAE;3724;N;7;STA_CGF_VALIDO;VARCHAR2;1;Y;;2;4;1031;NO;; (: )
SETA;CAE;3724;N;8;COD_SEGMENTO_ECONOMICO;NUMBER;22;Y;0;3;14;1030;NO;;CAE_SEG_ECO_FK (FOREIGN KEY: ENABLED)
SETA;CAE;3724;N;9;COD_SITUACAO_CAE;NUMBER;22;Y;0;2;3;2363;NO;Situa��o do CNAE; (: )
SETA;CAE;3724;N;10;DAT_SITUACAO_CAE;DATE;7;Y;;4;5;2363;NO;Data da situa��o do CNAE; (: )
SETA;CAE;3724;N;11;COD_USUARIO_SITUACAO_CAE;VARCHAR2;8;Y;;4;5;2363;NO;C�digo do usu�rio respons�vel pela atualiza��o da situa��o do CNAE; (: )
