OWNER;TABLE_NAME;NUM_ROWS;DUPLICATED;COLUMN_ID;COLUMN_NAME;DATA_TYPE;DATA_LENGTH;NULLABLE;DATA_SCALE;AVG_COL_LEN;NUM_DISTINCT;NUM_NULLS;DEFAULT_ON_NULL;COMMENTS;CONSTRAINTS
SGT;CAT_CONTRATO_AUDITORIA;97;N;1;SEQ_CATEGORIA_CONTRATO;NUMBER;22;Y;0;4;9;0;NO;Sequencial da Categoria do Contrato; (: )
SGT;CAT_CONTRATO_AUDITORIA;97;N;2;SEQ_CONTRATO;NUMBER;22;Y;0;4;5;13;NO;Sequencial do Contrato; (: )
SGT;CAT_CONTRATO_AUDITORIA;97;N;3;SEQ_CAT_CATEGORIA;NUMBER;22;Y;0;3;6;13;NO;Sequencial da tabela Categoria; (: )
SGT;CAT_CONTRATO_AUDITORIA;97;N;4;NUM_VAGAS;NUMBER;22;Y;0;3;4;13;NO;N�mero de vagas do contrato; (: )
SGT;CAT_CONTRATO_AUDITORIA;97;N;5;NUM_VAGAS_AUTORIZADAS;NUMBER;22;Y;0;3;2;13;NO;N�mero de vagas autorizadas pela a Seplag.; (: )
SGT;CAT_CONTRATO_AUDITORIA;97;N;6;QTD_CARGO;NUMBER;22;Y;0;3;2;13;NO;QUANTIDAD DO CARGO; (: )
SGT;CAT_CONTRATO_AUDITORIA;97;N;7;VLR_SALARIO;NUMBER;22;Y;2;4;3;13;NO;VALOR DO SALARIO; (: )
SGT;CAT_CONTRATO_AUDITORIA;97;N;8;VLR_ENCARGOS;NUMBER;22;Y;4;4;2;13;NO;VALOR DOS ENCARGOS; (: )
SGT;CAT_CONTRATO_AUDITORIA;97;N;9;VLR_VALE_ALIMENTACAO_MENSAL;NUMBER;22;Y;2;4;6;13;NO;VALOR DO VALE ALIMENTACAO; (: )
SGT;CAT_CONTRATO_AUDITORIA;97;N;10;VLR_VALE_TRANSPORTE_MENSAL;NUMBER;22;Y;2;5;8;13;NO;VALOR DO VALE TRANSPORTE; (: )
SGT;CAT_CONTRATO_AUDITORIA;97;N;11;VLR_CESTA_BASICA;NUMBER;22;Y;2;4;5;13;NO;VALOR DA CESTA BASICA; (: )
SGT;CAT_CONTRATO_AUDITORIA;97;N;12;VLR_PLANO_SAUDE;NUMBER;22;Y;2;3;3;13;NO;VALOR DO PLANO DE SAUDE; (: )
SGT;CAT_CONTRATO_AUDITORIA;97;N;13;VLR_FARDA;NUMBER;22;Y;2;3;3;13;NO;VALOR DA FARDA; (: )
SGT;CAT_CONTRATO_AUDITORIA;97;N;14;VLR_TAXA_ADMINISTRATIVA;NUMBER;22;Y;2;5;3;13;NO;VALOR DA TAXA ADMINISTRATIVA; (: )
SGT;CAT_CONTRATO_AUDITORIA;97;N;15;VLR_TRIBUTOS;NUMBER;22;Y;2;4;2;13;NO;VALOR DOS TRIBUTOS; (: )
SGT;CAT_CONTRATO_AUDITORIA;97;N;16;VLR_ADICIONAL_NOTURNO;NUMBER;22;Y;2;3;4;13;NO;VALOR DO ADICIONAL NOTURNO; (: )
SGT;CAT_CONTRATO_AUDITORIA;97;N;17;SEQ_REVISAO;NUMBER;22;N;0;4;94;0;NO;REV;PK_CAT_CONTRATO_AUDITORIA (PRIMARY KEY: DISABLED)- SYS_C0075329 (C: ENABLED)
SGT;CAT_CONTRATO_AUDITORIA;97;N;18;COD_REVISAO;NUMBER;22;Y;0;3;3;0;NO;REVTYPE; (: )
