OWNER;TABLE_NAME;NUM_ROWS;DUPLICATED;COLUMN_ID;COLUMN_NAME;DATA_TYPE;DATA_LENGTH;NULLABLE;DATA_SCALE;AVG_COL_LEN;NUM_DISTINCT;NUM_NULLS;DEFAULT_ON_NULL;COMMENTS;CONSTRAINTS
SIGET;AGENDAMENTO_ANEXO;;N;1;SEQ_ANEXO;NUMBER;22;N;;;;;NO;C�digo �nico do anexo;SYS_C0087065 (C: ENABLED)- XPKTB_MSG_AGEND_ANEXO (PRIMARY KEY: ENABLED)
SIGET;AGENDAMENTO_ANEXO;;N;2;BIN_ANEXO;BLOB;4000;N;;;;;NO;Arquivo Anexado;SYS_C0087066 (C: ENABLED)
SIGET;AGENDAMENTO_ANEXO;;N;3;DSC_ANEXO;VARCHAR2;100;Y;;;;;NO;Descri��o do anexo; (: )
SIGET;AGENDAMENTO_ANEXO;;N;4;SEQ_AGENDAMENTO;NUMBER;22;N;0;;;;NO;Identificador �nico do agendamento;AGEN_COM_R_AGEN_ANEX (FOREIGN KEY: ENABLED)- SYS_C0087067 (C: ENABLED)- XPKTB_MSG_AGEND_ANEXO (PRIMARY KEY: ENABLED)
SIGET;AGENDAMENTO_ANEXO;;N;5;ID_COMUNICADO_ELETRONICO;VARCHAR2;40;Y;;;;;NO;Identificador �nico de cada mensagem trocada.;MSG_ELE_R_ANEX_AGEN (FOREIGN KEY: ENABLED)
SIGET;AGENDAMENTO_COMUNICADO;;N;1;SEQ_AGENDAMENTO;NUMBER;22;N;0;;;;NO;Identificador �nico do agendamento;SYS_C0087076 (C: ENABLED)- XPKAGENDAMENTO_COMUNICADO (PRIMARY KEY: ENABLED)
SIGET;AGENDAMENTO_COMUNICADO;;N;2;DAT_AGENDAMENTO;VARCHAR2;12;N;;;;;NO;"Data definida pelo usu�rio para envio do comunicado agendado.
DDMMYYYY HHMM";SYS_C0087077 (C: ENABLED)
SIGET;AGENDAMENTO_COMUNICADO;;N;3;SIT_ENVIO;NUMBER;22;N;0;;;;NO;Situa��o do envio de agendamento (1) enviado (0) pendente.;SYS_C0087078 (C: ENABLED)
SIGET;AGENDAMENTO_COMUNICADO;;N;4;DSC_ASSUNTO;VARCHAR2;100;N;;;;;NO;Assunto do comunicado a ser enviado.;SYS_C0087079 (C: ENABLED)
SIGET;AGENDAMENTO_COMUNICADO;;N;5;DSC_CONTEUDO;CLOB;4000;Y;;;;;NO;Descri��o de conte�do do comunicado; (: )
SIGET;AGENDAMENTO_COMUNICADO;;N;6;XML_MENSAGEM;CLOB;4000;N;;;;;NO;Conte�do da mensagem em XML;SYS_C0087080 (C: ENABLED)
SIGET;AGENDAMENTO_COMUNICADO;;N;7;COD_DOCUMENTO;NUMBER;22;Y;0;;;;NO;C�digo do documento; (: )
SIGET;AGENDAMENTO_COMUNICADO;;N;8;COD_MON_PLAN_EMPR;VARCHAR2;60;N;;;;;NO;Identificador �nico da empresa em monitoramento;SYS_C0087081 (C: ENABLED)
SIGET;AGENDAMENTO_COMUNICADO;;N;9;SIT_RESPOSTA;NUMBER;22;N;0;;;;NO;Indica se a mensagem pode ser respondida 1-SIM ou 2-N�O;SYS_C0087082 (C: ENABLED)
SIGET;AGENDAMENTO_COMUNICADO;;N;10;TIP_MENSAGEM_ELETRONICA;NUMBER;22;Y;0;;;;NO;C�digo do Tipo de Mensagem Eletr�nica;FK_TIPO_MSG_R_COM_AGEN (FOREIGN KEY: ENABLED)
SIGET;AGENDAMENTO_COMUNICADO;;N;11;COD_SISTEMA;NUMBER;22;Y;0;;;;NO;C�digo de identifica��o do sistema.;FK_SIS_R_COM_AGEN (FOREIGN KEY: ENABLED)
SIGET;AGENDAMENTO_COMUNICADO;;N;12;COD_USUARIO_REMETENTE;VARCHAR2;40;N;;;;;NO;Matr�cula do Usu�rio;GESTOR_R_AGEND_REMTE (FOREIGN KEY: ENABLED)- SYS_C0087083 (C: ENABLED)
SIGET;AGENDAMENTO_COMUNICADO;;N;13;COD_USUARIO_DESTINATARIO;VARCHAR2;40;N;;;;;NO;Matr�cula do Usu�rio;GESTOR_R_AGEND_DEST (FOREIGN KEY: ENABLED)- SYS_C0087084 (C: ENABLED)
SIGET;AGENDAMENTO_COMUNICADO;;N;14;COD_COMUNICADO_ELETRONICO;VARCHAR2;40;Y;;;;;NO;Identificador �nico de cada mensagem trocada.;COM_ELE_R_AGEN_COM (FOREIGN KEY: ENABLED)
SIGET;AGENDAMENTO_COMUNICADO;;N;15;DAT_INCLUSAO;DATE;7;N;;;;;NO;Data de inclus�o do agendamento de comunicado.;SYS_C0087085 (C: ENABLED)
SIGET;BATCH_JOB_EXECUTION;218;N;1;JOB_EXECUTION_ID;NUMBER;22;N;0;4;218;0;NO;;SYS_C00119695 (C: ENABLED)- SYS_C00134801 (PRIMARY KEY: ENABLED)
SIGET;BATCH_JOB_EXECUTION;218;N;2;VERSION;NUMBER;22;Y;0;3;1;0;NO;; (: )
SIGET;BATCH_JOB_EXECUTION;218;N;3;JOB_INSTANCE_ID;NUMBER;22;N;0;4;218;0;NO;;JOB_INST_EXEC_FK (FOREIGN KEY: ENABLED)- SYS_C00119696 (C: ENABLED)
SIGET;BATCH_JOB_EXECUTION;218;N;4;CREATE_TIME;TIMESTAMP(6);11;N;6;11;218;0;NO;;SYS_C00119697 (C: ENABLED)
SIGET;BATCH_JOB_EXECUTION;218;N;5;START_TIME;TIMESTAMP(6);11;Y;6;11;218;0;NO;; (: )
SIGET;BATCH_JOB_EXECUTION;218;N;6;END_TIME;TIMESTAMP(6);11;Y;6;11;217;0;NO;; (: )
SIGET;BATCH_JOB_EXECUTION;218;N;7;STATUS;VARCHAR2;10;Y;;8;4;0;NO;; (: )
SIGET;BATCH_JOB_EXECUTION;218;N;8;EXIT_CODE;VARCHAR2;100;Y;;8;4;0;NO;; (: )
SIGET;BATCH_JOB_EXECUTION;218;N;9;EXIT_MESSAGE;VARCHAR2;2500;Y;;2;1;216;NO;; (: )
SIGET;BATCH_JOB_EXECUTION;218;N;10;LAST_UPDATED;TIMESTAMP(6);11;Y;6;11;216;0;NO;; (: )
SIGET;BATCH_JOB_EXECUTION;218;N;11;JOB_CONFIGURATION_LOCATION;VARCHAR2;2500;Y;;0;0;218;NO;; (: )
SIGET;BATCH_JOB_EXECUTION_CONTEXT;218;N;1;JOB_EXECUTION_ID;NUMBER;22;N;0;4;218;0;NO;;JOB_EXEC_CTX_FK (FOREIGN KEY: ENABLED)- SYS_C00130275 (PRIMARY KEY: ENABLED)- SYS_C0096354 (C: ENABLED)
SIGET;BATCH_JOB_EXECUTION_CONTEXT;218;N;2;SHORT_CONTEXT;VARCHAR2;2500;N;;11;1;0;NO;;SYS_C0096355 (C: ENABLED)
SIGET;BATCH_JOB_EXECUTION_CONTEXT;218;N;3;SERIALIZED_CONTEXT;CLOB;4000;Y;;0;0;218;NO;; (: )
