"OWNER";"TABLE_NAME";"NUM_ROWS";"DUPLICATED";"COLUMN_ID";"COLUMN_NAME";"DATA_TYPE";"DATA_LENGTH";"NULLABLE";"DATA_SCALE";"AVG_COL_LEN";"NUM_DISTINCT";"NUM_NULLS";"DEFAULT_ON_NULL";"COMMENTS";"CONSTRAINTS"
"SINFA";"AGRICULTOR";1090;"N";2;"COD_DAP";"VARCHAR2";50;"N";;25;1051;0;"NO";"Codigo da Declaração de Aptidão ao Pronaf";"SYS_C0059601 (C: ENABLED)"
"SINFA";"AGRICULTOR";1090;"N";1;"SEQ_PESSOA_FISICA_JUR";"NUMBER";22;"N";0;6;1090;0;"NO";"identificador da pessoa fisica do cadastro associado ao Agricultor.";"PK_AGRICULTOR (PRIMARY KEY: ENABLED)- SYS_C0059600 (C: ENABLED)"
"SINFA";"AGRICULTOR";1090;"N";3;"VLR_LIM_ISENCAO";"NUMBER";22;"N";4;4;1;0;"NO";"Valor do Limite de Isencao Anual de nota do Agricultor.";"SYS_C0059602 (C: ENABLED)"
"SINFA";"ARTESAO";13018;"N";4;"DSC_MOTIVO_CADASTRO";"VARCHAR2";500;"Y";;0;0;13018;"NO";"Motivo para cadastro de artesão criado pela SEFAZ atraves do Sinfa.";" (: )"
"SINFA";"ARTESAO";13018;"N";2;"NUM_CARTEIRA";"VARCHAR2";7;"N";;6;13018;0;"NO";"Numero da carteira do artesão";"SYS_C0059605 (C: ENABLED)"
"SINFA";"ARTESAO";13018;"N";1;"SEQ_PESSOA_FISICA_JUR";"NUMBER";22;"N";0;6;13018;0;"NO";"Identificador da Pessoa do cadastro associada ao artesão.";"PK_ARTESAO (PRIMARY KEY: ENABLED)- SYS_C0059604 (C: ENABLED)"
"SINFA";"ARTESAO";13018;"N";3;"STA_ARTESAO";"VARCHAR2";1;"Y";;2;1;0;"NO";"Status da situação do artesão";"CKC_STA_ARTESAO_ARTESAO (C: ENABLED)"
"SINFA";"ARTESAO_TIPOLOGIA";16407;"N";3;"DSC_TIPOLOGIA";"VARCHAR2";100;"N";;15;16;0;"NO";"descri??o da tipologia do artes?o (Area de atuacao do artes?o)";"SYS_C0059610 (C: ENABLED)"
"SINFA";"ARTESAO_TIPOLOGIA";16407;"N";4;"QTD_PECAS";"NUMBER";22;"N";0;4;14;0;"NO";"limite de pe?as disponiveis dessa tipologia para o artesao.";"SYS_C0059611 (C: ENABLED)"
"SINFA";"ARTESAO_TIPOLOGIA";16407;"N";1;"SEQ_ARTESAO_TIPOLOGIA";"NUMBER";22;"N";0;6;16407;0;"NO";"Codigo de Artesao Tipologia.";"PK_ARTESAO_TIPOLOGIA (PRIMARY KEY: ENABLED)- SYS_C0059608 (C: ENABLED)"
"SINFA";"ARTESAO_TIPOLOGIA";16407;"N";2;"SEQ_PESSOA_ARTESAO";"NUMBER";22;"N";0;6;13018;0;"NO";"codigo do artes?o";"FK_ART_TIP_R_ART (FOREIGN KEY: ENABLED)- SYS_C0059609 (C: ENABLED)"
"SINFA";"BAIXA_MANUAL_NOTA";55927;"N";7;"DAT_BAIXA_MANUAL";"DATE";7;"Y";;8;55420;0;"NO";"data da baixa.";" (: )"
"SINFA";"BAIXA_MANUAL_NOTA";55927;"N";3;"DSC_LOCAL_PAGAMENTO";"VARCHAR2";100;"N";;15;6726;0;"NO";"Local em que o DAE foi pago";"SYS_C0059615 (C: ENABLED)"
"SINFA";"BAIXA_MANUAL_NOTA";55927;"N";6;"NUM_DAE";"VARCHAR2";15;"Y";;2;3027;52573;"NO";"Numero do Dae correspondente.";" (: )"
"SINFA";"BAIXA_MANUAL_NOTA";55927;"N";1;"SEQ_BAIXA_MANUAL";"NUMBER";22;"N";0;5;55927;0;"NO";"surrogate key da tabela";"PK_BAIXA_MANUAL_NOTA (PRIMARY KEY: ENABLED)- SYS_C0059613 (C: ENABLED)"
"SINFA";"BAIXA_MANUAL_NOTA";55927;"N";5;"SEQ_DAE_EMITIDO";"NUMBER";22;"Y";0;6;54440;1223;"NO";"Identificador do DAE pago";" (: )"
"SINFA";"BAIXA_MANUAL_NOTA";55927;"N";2;"SEQ_NFA";"NUMBER";22;"N";0;6;55927;0;"NO";"Código da NFA";"BAIXA_MANUAL_NOTA_UK1 (UNIQUE: ENABLED)- FK_BAI_MAN_NOT_R_NF_AVU (FOREIGN KEY: ENABLED)- SYS_C0059614 (C: ENABLED)"
"SINFA";"BAIXA_MANUAL_NOTA";55927;"N";4;"SEQ_USUARIO";"NUMBER";22;"Y";0;5;432;0;"NO";"Seqüencial do usuário";"FK_BAI_MAN_NOT_R_USU (FOREIGN KEY: ENABLED)"
"SINFA";"BLOQ_PESSOA";2735;"N";9;"DAT_DESBLOQ";"DATE";7;"Y";;8;1731;375;"NO";"Data do desbloqueio.";" (: )"
"SINFA";"BLOQ_PESSOA";2735;"N";4;"DAT_FIM";"DATE";7;"Y";;3;51;1983;"NO";"Data de Fim do bloqueio";" (: )"
"SINFA";"BLOQ_PESSOA";2735;"N";3;"DAT_INICIO";"DATE";7;"N";;8;2659;0;"NO";"Data de inicio do bloqueio";"SYS_C0059620 (C: ENABLED)"
"SINFA";"BLOQ_PESSOA";2735;"N";5;"DSC_MOT_BLOQUEIO";"VARCHAR2";1024;"N";;99;717;0;"NO";"Descrição do Motivo do Bloqueio";"SYS_C0059621 (C: ENABLED)"
"SINFA";"BLOQ_PESSOA";2735;"N";6;"DSC_MOT_DESBLOQ";"VARCHAR2";1024;"Y";;40;852;1044;"NO";"Descrição do Motivo do Desbloqueio";" (: )"
"SINFA";"BLOQ_PESSOA";2735;"N";12;"QTD_NOTA_PERMITIDA";"NUMBER";22;"Y";0;2;34;1438;"NO";"";" (: )"
"SINFA";"BLOQ_PESSOA";2735;"N";1;"SEQ_BLOQ_PESSOA";"NUMBER";22;"N";0;4;2735;0;"NO";"Sequencial da tabela";"PK_BLOQ_PESSOA (PRIMARY KEY: ENABLED)- SYS_C0059618 (C: ENABLED)"
"SINFA";"BLOQ_PESSOA";2735;"N";2;"SEQ_PESSOA";"NUMBER";22;"N";0;6;1469;0;"NO";"FK para a pessoa";"SYS_C0059619 (C: ENABLED)"
"SINFA";"BLOQ_PESSOA";2735;"N";7;"SEQ_USUARIO_BLOQUEIO";"NUMBER";22;"Y";0;3;37;1932;"NO";"Usuario que efetuou o bloqueio da pessoa.";"FK_USU_R_BLO_PES_BLO (FOREIGN KEY: ENABLED)"
"SINFA";"BLOQ_PESSOA";2735;"N";8;"SEQ_USUARIO_DESBLOQ";"NUMBER";22;"Y";0;4;73;1044;"NO";"Usuario que efetuou o desbloqueio da pessoa.";"FK_USU_R_BLO_PES_DES (FOREIGN KEY: ENABLED)"
"SINFA";"BLOQ_PESSOA";2735;"N";11;"STA_AUTOR_BLOQ_SINFA";"NUMBER";22;"Y";0;3;2;0;"NO";"";"CKC_STA_AUTOR_BLOQ_SI_BLOQ_PES (C: ENABLED)"
"SINFA";"BLOQ_PESSOA";2735;"N";14;"STA_BLOQ_DESTINATARIO";"NUMBER";22;"N";0;3;2;0;"NO";"Indica que a pessoa foi bloqueada como destinatário do SINFA.";"CKC_STA_BLOQ_DESTINAT_BLOQ_PES (C: ENABLED)- SYS_C0059623 (C: ENABLED)"
"SINFA";"BLOQ_PESSOA";2735;"N";13;"STA_BLOQ_REMETENTE";"NUMBER";22;"N";0;3;2;0;"NO";"Indica que a pessoa foi bloqueada como remetente do SINFA.";"CKC_STA_BLOQ_REMETENT_BLOQ_PES (C: ENABLED)- SYS_C0059622 (C: ENABLED)"
"SINFA";"BLOQ_PESSOA";2735;"N";10;"TIP_BLOQUEIO";"NUMBER";22;"Y";0;3;2;0;"NO";"";"CKC_TIP_BLOQUEIO_BLOQ_PES (C: ENABLED)"
"SINFA";"BLOQ_USUARIO";0;"N";4;"DAT_FIM_BLOQ";"DATE";7;"Y";;0;0;0;"NO";"Data em que o usuário foi desbloqueado.";" (: )"
"SINFA";"BLOQ_USUARIO";0;"N";3;"DAT_INICIO_BLOQ";"DATE";7;"N";;0;0;0;"NO";"Data em que o usuário foi bloqueado.";"SYS_C0059631 (C: ENABLED)"
"SINFA";"BLOQ_USUARIO";0;"N";5;"DSC_MOTIVO_BLOQ";"VARCHAR2";1024;"N";;0;0;0;"NO";"Motivo pelo qual o usuário foi bloqueado.";"SYS_C0059632 (C: ENABLED)"
"SINFA";"BLOQ_USUARIO";0;"N";6;"DSC_MOTIVO_DESBLOQ";"VARCHAR2";1024;"Y";;0;0;0;"NO";"Motivo pelo qual o usuário foi desbloqueado.";" (: )"
"SINFA";"BLOQ_USUARIO";0;"N";1;"SEQ_BLOQ_USUARIO";"NUMBER";22;"N";0;0;0;0;"NO";"Chave da tabela.";"PK_BLOQ_USUARIO (PRIMARY KEY: ENABLED)- SYS_C0059629 (C: ENABLED)"
"SINFA";"BLOQ_USUARIO";0;"N";2;"SEQ_USUARIO";"NUMBER";22;"N";0;0;0;0;"NO";"Seqüencial do usuário";"FK_USU_R_BLO_USU (FOREIGN KEY: ENABLED)- SYS_C0059630 (C: ENABLED)"
