"OWNER";"TABLE_NAME";"COLUMN_ID";"COLUMN_NAME";"DATA_TYPE";"DATA_LENGTH";"NULLABLE";"DATA_SCALE";"AVG_COL_LEN";"NUM_DISTINCT";"NUM_NULLS";"DENSITY";"DEFAULT_ON_NULL";"NUM_BUCKETS";"COMMENTS";"CONSTRAINTS"
"SINFA";"AGRICULTOR";1;"SEQ_PESSOA_FISICA_JUR";"NUMBER";22;"N";0;6;918;0;0,00108932461873638;"NO";1;"identificador da pessoa fisica do cadastro associado ao Agricultor.";"PK_AGRICULTOR (PRIMARY KEY, ENABLED); SYS_C0059600 (CHECK, ENABLED)"
"SINFA";"AGRICULTOR";2;"COD_DAP";"VARCHAR2";50;"N";;25;884;0;0,00113122171945701;"NO";1;"Codigo da Declaração de Aptidão ao Pronaf";"SYS_C0059601 (CHECK, ENABLED)"
"SINFA";"AGRICULTOR";3;"VLR_LIM_ISENCAO";"NUMBER";22;"N";4;4;1;0;1;"NO";1;"Valor do Limite de Isencao Anual de nota do Agricultor.";"SYS_C0059602 (CHECK, ENABLED)"
"SINFA";"ARTESAO";1;"SEQ_PESSOA_FISICA_JUR";"NUMBER";22;"N";0;6;12749;0;0,0000784375245117264;"NO";1;"Identificador da Pessoa do cadastro associada ao artesão.";"PK_ARTESAO (PRIMARY KEY, ENABLED); SYS_C0059604 (CHECK, ENABLED)"
"SINFA";"ARTESAO";2;"NUM_CARTEIRA";"VARCHAR2";7;"N";;6;12749;0;0,0000784375245117264;"NO";1;"Numero da carteira do artesão";"SYS_C0059605 (CHECK, ENABLED)"
"SINFA";"ARTESAO";3;"STA_ARTESAO";"VARCHAR2";1;"Y";;2;1;0;1;"NO";1;"Status da situação do artesão";"CKC_STA_ARTESAO_ARTESAO (CHECK, ENABLED)"
"SINFA";"ARTESAO";4;"DSC_MOTIVO_CADASTRO";"VARCHAR2";500;"Y";;0;0;12749;0;"NO";0;"Motivo para cadastro de artesão criado pela SEFAZ atraves do Sinfa.";" (, )"
"SINFA";"ARTESAO_TIPOLOGIA";1;"SEQ_ARTESAO_TIPOLOGIA";"NUMBER";22;"N";0;6;16088;0;0,0000621581302834411;"NO";1;"Codigo de Artesao Tipologia.";"PK_ARTESAO_TIPOLOGIA (PRIMARY KEY, ENABLED); SYS_C0059608 (CHECK, ENABLED)"
"SINFA";"ARTESAO_TIPOLOGIA";2;"SEQ_PESSOA_ARTESAO";"NUMBER";22;"N";0;6;12749;0;0,0000784375245117264;"NO";1;"codigo do artes?o";"FK_ART_TIP_R_ART (FOREIGN KEY, ENABLED); SYS_C0059609 (CHECK, ENABLED)"
"SINFA";"ARTESAO_TIPOLOGIA";3;"DSC_TIPOLOGIA";"VARCHAR2";100;"N";;15;16;0;0,0625;"NO";1;"descri??o da tipologia do artes?o (Area de atuacao do artes?o)";"SYS_C0059610 (CHECK, ENABLED)"
