OWNER;TABLE_NAME;NUM_ROWS;DUPLICATED;COLUMN_ID;COLUMN_NAME;DATA_TYPE;DATA_LENGTH;NULLABLE;DATA_SCALE;AVG_COL_LEN;NUM_DISTINCT;NUM_NULLS;DEFAULT_ON_NULL;COMMENTS;CONSTRAINTS
SISAGUA;GRAFICA;2;N;1;SEQ_GRAFICA;NUMBER;22;N;0;3;2;0;NO;;PK_GRAFICA (PRIMARY KEY: ENABLED)- SYS_C0093984 (C: ENABLED)
SISAGUA;GRAFICA;2;N;2;COD_CNPJ;NUMBER;22;N;0;9;2;0;NO;;SYS_C0093985 (C: ENABLED)
SISAGUA;GRAFICA;2;N;3;NOM_GRAFICA;VARCHAR2;80;N;;34;2;0;NO;;SYS_C0093986 (C: ENABLED)
SISAGUA;GRAFICA;2;N;4;DAT_INICIO;DATE;7;Y;;8;2;0;NO;; (: )
SISAGUA;GRAFICA;2;N;5;DAT_FIM;DATE;7;Y;;1;0;2;NO;; (: )
SISAGUA;GRAFICA;2;N;6;STA_ATIVA;NUMBER;22;Y;0;3;1;0;NO;; (: )
SISAGUA;GRAFICA;2;N;7;NOM_USUARIO;VARCHAR2;40;Y;;21;2;0;NO;; (: )
SISAGUA;GRAFICA;2;N;8;NOM_SENHA;VARCHAR2;25;Y;;18;2;0;NO;; (: )
SISAGUA;GRAFICA;2;N;9;NOM_URL;VARCHAR2;300;Y;;60;2;0;NO;; (: )
SISAGUA;PEDIDO;328;N;1;SEQ_PEDIDO;NUMBER;22;N;0;4;328;0;NO;SEQUENCIAL CHAVE DA TABELA;PK_PEDIDO (PRIMARY KEY: ENABLED)- SYS_C00111558 (C: ENABLED)
SISAGUA;PEDIDO;328;N;2;COD_PEDIDO;NUMBER;22;N;0;5;324;0;NO;c�digo do pedido enviado pela gr�fica;SYS_C00111559 (C: ENABLED)
SISAGUA;PEDIDO;328;N;3;COD_CNPJ;NUMBER;22;N;0;9;38;0;NO;cnpj da empresa solicitante;SYS_C00111560 (C: ENABLED)
SISAGUA;PEDIDO;328;N;4;TIP_AGUA;NUMBER;22;Y;0;3;3;0;NO;"Tipo de �gua
1-Mineral
2-Adicionada de sais
"; (: )
SISAGUA;PEDIDO;328;N;5;STA_CREDENCIADO;NUMBER;22;Y;0;3;2;0;NO;"INDICATIVO SE O SOLICITANTE � CREDENCIADO
0-N�o Credenciado
1-Credenciado"; (: )
SISAGUA;PEDIDO;328;N;6;STA_PEDIDO;NUMBER;22;Y;0;3;5;0;NO;"status do pedido
NOVO(1),
AUTORIZADO(2),
AUTORIZACAO_PENDENTE(3),
CANCELADO_A_PEDIDO(4),
PAGO(5),
CANCELADO_POR_PRAZO(6);"; (: )
SISAGUA;PEDIDO;328;N;7;VLR_PEDIDO;NUMBER;22;Y;2;4;53;0;NO;Valor total do pedido; (: )
SISAGUA;PEDIDO;328;N;8;DAT_PEDIDO;DATE;7;Y;;8;327;0;NO;Data do Pedido; (: )
SISAGUA;PEDIDO;328;N;9;DAT_VENCIMENTO;DATE;7;Y;;8;69;0;NO;Data do vencimento do d�bito gerado; (: )
SISAGUA;PEDIDO;328;N;10;QTD_SELOS;NUMBER;22;Y;0;4;33;0;NO;quantidade de selos do pedido; (: )
SISAGUA;PEDIDO;328;N;11;COD_DEBITO;NUMBER;22;Y;0;4;173;150;NO;c�digo do d�bito gerado no copaf; (: )
SISAGUA;PEDIDO;328;N;12;NUM_CHAVE_NFE;VARCHAR2;44;Y;;6;30;298;NO;Chave da NFE referente ao pedido de selos; (: )
SISAGUA;PEDIDO;328;N;13;STA_REGIME_ESPECIAL;NUMBER;22;Y;0;3;2;7;NO;"INDICATIVO SE O SOLICITANTE POSSUI REGIME ESPECIAL
0-N�o Possui Regime Especial
1-Possui Regime Especial"; (: )
SISAGUA;PEDIDO;328;N;14;VLR_SELO;NUMBER;22;Y;2;3;12;0;NO;Valor unit�rio do Selo para o pedido; (: )
