<<<<<<< HEAD
"OWNER";"TABLE_NAME";"COLUMN_ID";"COLUMN_NAME";"DATA_TYPE";"DATA_LENGTH";"NULLABLE";"DATA_SCALE";"AVG_COL_LEN";"NUM_DISTINCT";"NUM_NULLS";"DENSITY";"DEFAULT_ON_NULL";"NUM_BUCKETS";"COMMENTS";"CONSTRAINTS"
"SISCOEX2";"ACRESCIMO_DEDUCAO";1;"SEQ_ACRESCIMO_DEDUCAO";"NUMBER";22;"N";0;4;525;0;0,0019047619047619;"NO";1;"SEQ ACRESCIMO DEDUCAO";"PK_ACRESCIMO_DEDUCAO (PRIMARY KEY, ENABLED); SYS_C001546796 (CHECK, ENABLED)"
"SISCOEX2";"ACRESCIMO_DEDUCAO";2;"COD_MOEDA";"NUMBER";22;"Y";0;4;4;0;0,25;"NO";1;"Moeda negociada para o acréscimo/dedução. Referencia:
moeda. Domínio: Tabela de moedas.";"FK_MOEDA_R_ACRESCIMO_DEDUCAO (FOREIGN KEY, ENABLED)"
"SISCOEX2";"ACRESCIMO_DEDUCAO";3;"COD_TIPO_OPERACAO";"NUMBER";22;"Y";0;3;2;0;0,5;"NO";1;"Tipo da operação (acréscimo ou dedução). Referencia:
tipoOperacao.
Domínio: 1 - Acréscimo , 2 – Dedução";"FK_TIPO_ACR_DED_R_ACR_DED (FOREIGN KEY, ENABLED)"
"SISCOEX2";"ACRESCIMO_DEDUCAO";4;"COD_ACRESCIMO_DEDUCAO";"NUMBER";22;"Y";0;3;2;0;0,5;"NO";1;"Código do acréscimo/dedução. Referencia: codigo.Domínio:
Disponível nas Tabelas Aduaneiras";"FK_TIPO_ACR_DED_R_ACR_DED (FOREIGN KEY, ENABLED)"
"SISCOEX2";"ACRESCIMO_DEDUCAO";5;"SEQ_ITEM";"NUMBER";22;"Y";0;4;522;0;0,00191570881226054;"NO";1;"SEQ ITEM";"FK_ITEM_DUIMP_R_ACRESCIMO_DED (FOREIGN KEY, ENABLED)"
"SISCOEX2";"ACRESCIMO_DEDUCAO";6;"VLR_ACRESC_DED_MOEDA_NEGOCIADA";"NUMBER";22;"Y";2;5;437;0;0,0022883295194508;"NO";1;"";" (, )"
"SISCOEX2";"ACRESCIMO_DEDUCAO";7;"VLR_ACRESC_DED_REAL";"NUMBER";22;"Y";2;5;445;0;0,00224719101123595;"NO";1;"";" (, )"
"SISCOEX2";"ALCANCE_BENEFICIO";1;"SEQ_BENEFICIO";"NUMBER";22;"Y";0;;;;;"NO";;"SEQUENCIAL DA TABELA DE BENEFICIOS";"FK_ALCANCE_R_BENEFICIO (FOREIGN KEY, ENABLED)"
"SISCOEX2";"ALCANCE_BENEFICIO";2;"COD_ALCANCE";"NUMBER";22;"Y";0;;;;;"NO";;"CODIGO DO TERMO DE ACORDO";" (, )"
"SISCOEX2";"ALCANCE_BENEFICIO";3;"SEQ_ALCANCE_BENEFICIO";"NUMBER";22;"N";0;;;;;"NO";;"";"SYS_C001560209 (CHECK, ENABLED)"
