OWNER;TABLE_NAME;NUM_ROWS;DUPLICATED;COLUMN_ID;COLUMN_NAME;DATA_TYPE;DATA_LENGTH;NULLABLE;DATA_SCALE;AVG_COL_LEN;NUM_DISTINCT;NUM_NULLS;DEFAULT_ON_NULL;COMMENTS;CONSTRAINTS
SITRAM2;ACAO_FISCAL;35021621;N;31;COD_CNPJ_DUTOVIARIO;NUMBER;22;Y;0;2;28;35021455;NO;CNPJ da empresa do duto por onde passou a carga.; (: )
SITRAM2;ACAO_FISCAL;35021621;N;24;COD_CNPJ_TRANSPORTADORA;NUMBER;22;Y;0;4;93776;23039093;NO;CNPJ da transportadora ou empresa condutora que trouxe a carga.; (: )
SITRAM2;ACAO_FISCAL;35021621;N;3;COD_CONFIG_ORGAO;NUMBER;22;Y;0;3;1;4176;NO;Codigo do Posto ou outro Org?o Local que tenha base de dados local.;FK_ACE_R_ACA_FIS (FOREIGN KEY: ENABLED)
SITRAM2;ACAO_FISCAL;35021621;N;27;COD_CPF_MOTORISTA;NUMBER;22;Y;0;4;546176;20759847;NO;CPF do motorista que trouxe a carga.; (: )
SITRAM2;ACAO_FISCAL;35021621;N;56;COD_CPF_RESP_DEVOL;NUMBER;22;Y;0;2;528;34999213;NO;; (: )
SITRAM2;ACAO_FISCAL;35021621;N;54;COD_CPF_RESP_ENTREGA;NUMBER;22;Y;0;2;1140;34997736;NO;; (: )
SITRAM2;ACAO_FISCAL;35021621;N;30;COD_IDENTIDADE_MOTORISTA;VARCHAR2;35;Y;;3;441408;28740849;NO;RG do motorista que trouxe a carga.; (: )
SITRAM2;ACAO_FISCAL;35021621;N;37;COD_ORGAO_LOCAL;NUMBER;22;N;0;5;69;0;NO;Codigo do org?o local onde a ac?o fiscal de transito foi aberta.;FK_ORG_LOC_R_ACA_FIS (FOREIGN KEY: ENABLED)- SYS_C00190173 (C: ENABLED)
SITRAM2;ACAO_FISCAL;35021621;N;51;COD_RESPONSAVEL;NUMBER;22;Y;0;5;2855168;14548407;NO;CPF, CNPJ ou IE do responsavel.; (: )
SITRAM2;ACAO_FISCAL;35021621;N;13;COD_UF_PLACA_PRINCIPAL;NUMBER;22;Y;0;2;27;32949360;NO;UF da placa primaria.;FK_UNI_FED_R_ACA_FIS_PRI (FOREIGN KEY: ENABLED)
SITRAM2;ACAO_FISCAL;35021621;N;15;COD_UF_PLACA_SECUNDARIA1;NUMBER;22;Y;0;2;27;34486849;NO;UF da primeira placa secundaria.;FK_UNI_FED_R_ACA_FIS_PS1 (FOREIGN KEY: ENABLED)
SITRAM2;ACAO_FISCAL;35021621;N;17;COD_UF_PLACA_SECUNDARIA2;NUMBER;22;Y;0;2;26;35002791;NO;UF da segunda placa secundaria.;FK_UNI_FED_R_ACA_FIS_PS2 (FOREIGN KEY: ENABLED)
SITRAM2;ACAO_FISCAL;35021621;N;19;COD_UF_PLACA_SECUNDARIA3;NUMBER;22;Y;0;2;22;35020399;NO;UF da terceira placa secundaria.;FK_UNI_FED_R_ACA_FIS_PS3 (FOREIGN KEY: ENABLED)
SITRAM2;ACAO_FISCAL;35021621;N;58;COD_VEICULO;NUMBER;22;Y;0;2;53116;34942992;NO;; (: )
SITRAM2;ACAO_FISCAL;35021621;N;8;DAT_ACAO_FISCAL;DATE;7;N;;8;23128064;0;NO;Data de Solicitac?o da Ac?o Fiscal.;SYS_C00190170 (C: ENABLED)
SITRAM2;ACAO_FISCAL;35021621;N;42;DAT_ENTRADA_PROCESSO;DATE;7;Y;;2;3379;34805537;NO;Data de entrada do processo no CEFIT.; (: )
SITRAM2;ACAO_FISCAL;35021621;N;9;DSC_CHAVE;VARCHAR2;50;Y;;0;0;35021621;NO;Chave de acesso a origem das notas fiscais que compor?o a ac?o fiscal.; (: )
SITRAM2;ACAO_FISCAL;35021621;N;10;DSC_JUSTIFICATIVA_CANCEL;VARCHAR2;255;Y;;2;345760;34505326;NO;Justificativa do cancelamento da ac?o fiscal, que so pode ser cancelada se ainda n?o foi homologada ou se n?o estiver em transito.; (: )
