OWNER;TABLE_NAME;NUM_ROWS;DUPLICATED;COLUMN_ID;COLUMN_NAME;DATA_TYPE;DATA_LENGTH;NULLABLE;DATA_SCALE;AVG_COL_LEN;NUM_DISTINCT;NUM_NULLS;DEFAULT_ON_NULL;COMMENTS;CONSTRAINTS
TRAMITA;ASPECTO;5;N;1;SEQ_ASPECTO;NUMBER;22;N;0;3;5;0;NO;sequencial ;PK_ASPECTO (PRIMARY KEY: ENABLED)- SYS_C00195126 (C: ENABLED)
TRAMITA;ASPECTO;5;N;2;STA_DESABILITADO;NUMBER;22;Y;0;2;1;0;NO;define se o registro est� desabilitado; (: )
TRAMITA;ASPECTO;5;N;3;NOM_ASPECTO;VARCHAR2;100;Y;;16;5;0;NO;nome do aspecto; (: )
TRAMITA;ASPECTO;5;N;4;STA_SISTEMA;NUMBER;22;Y;0;3;2;0;NO;define se o aspecto � gerado pelo sistema; (: )
TRAMITA;ASPECTO;5;N;5;TXT_VALOR;VARCHAR2;255;Y;;22;5;0;NO;Campo ir� receber um texto com valor pre definido; (: )
TRAMITA;ASPECTO;5;N;6;DSC_TITULO;VARCHAR2;100;Y;;20;5;0;NO;titulo  do aspecto; (: )
TRAMITA;ASPECTO_AUD;18;N;1;REV;NUMBER;22;N;0;6;18;0;NO;envers audit column;PK_ASPECTO_AUD (PRIMARY KEY: ENABLED)- SYS_C00195304 (C: ENABLED)
TRAMITA;ASPECTO_AUD;18;N;2;REVTYPE;NUMBER;22;N;0;3;2;0;NO;envers audit column;SYS_C00195305 (C: ENABLED)
TRAMITA;ASPECTO_AUD;18;N;3;SEQ_ASPECTO;NUMBER;22;N;0;3;5;0;NO;sequencial ;PK_ASPECTO_AUD (PRIMARY KEY: ENABLED)- SYS_C00195306 (C: ENABLED)
TRAMITA;ASPECTO_AUD;18;N;4;STA_DESABILITADO;NUMBER;22;Y;0;3;2;0;NO;define se o registro est� desabilitado; (: )
TRAMITA;ASPECTO_AUD;18;N;5;NOM_ASPECTO;VARCHAR2;100;Y;;16;7;0;NO;nome ; (: )
TRAMITA;ASPECTO_AUD;18;N;6;STA_SISTEMA;NUMBER;22;Y;0;3;2;0;NO;define se � gerado pelo sistema; (: )
TRAMITA;ASPECTO_AUD;18;N;7;TXT_VALOR;VARCHAR2;255;Y;;18;9;0;NO;Campo ir� receber O VALOR; (: )
TRAMITA;ASPECTO_AUD;18;N;8;DSC_TITULO;VARCHAR2;100;Y;;11;6;9;NO;titulo  do aspecto; (: )
TRAMITA;ASSINADOR_FAVORITO;1664;N;1;SEQ_USUARIO_FISCAL;NUMBER;22;N;0;5;649;0;NO;Sequencial Usuario Fiscal;FK_ASSIS_FAVOR_FISCAL (FOREIGN KEY: ENABLED)- SYS_C00195274 (C: ENABLED)
TRAMITA;ASSINADOR_FAVORITO;1664;N;2;SEQ_USUARIO_ASSINADOR_FAVORITO;NUMBER;22;N;0;5;606;0;NO;Sequencial do usuario assinador;FK_ASSIS_FAVOR_ASSINADOR (FOREIGN KEY: ENABLED)- SYS_C00195275 (C: ENABLED)
TRAMITA;ASSINADOR_FAVORITO_AUD;2762;N;1;REV;NUMBER;22;N;0;6;2755;0;NO;revis�o;PK_ASSINADOR_FAVORITO_AUD (PRIMARY KEY: ENABLED)- SYS_C00195294 (C: ENABLED)
TRAMITA;ASSINADOR_FAVORITO_AUD;2762;N;2;SEQ_USUARIO_FISCAL;NUMBER;22;N;0;5;653;0;NO;Sequencial fiscal;PK_ASSINADOR_FAVORITO_AUD (PRIMARY KEY: ENABLED)- SYS_C00195295 (C: ENABLED)
TRAMITA;ASSINADOR_FAVORITO_AUD;2762;N;3;SEQ_USUARIO_ASSINADOR_FAVORITO;NUMBER;22;N;0;5;646;0;NO;Sequencial do usuario assinador;PK_ASSINADOR_FAVORITO_AUD (PRIMARY KEY: ENABLED)- SYS_C00195296 (C: ENABLED)
TRAMITA;ASSINADOR_FAVORITO_AUD;2762;N;4;REVTYPE;NUMBER;22;Y;0;3;2;0;NO;tipo de revis�o; (: )
TRAMITA;ASSINATURA;1826369;N;1;SEQ_ASSINATURA;NUMBER;22;N;0;6;1826369;0;NO;sequencial da assinatura;PK_ASSINATURA (PRIMARY KEY: ENABLED)- SYS_C00195132 (C: ENABLED)
TRAMITA;ASSINATURA;1826369;N;2;DSC_ASSINATURA;VARCHAR2;255;Y;;0;0;1826369;NO;informacoes da assinatura; (: )
TRAMITA;ASSINATURA;1826369;N;3;SEQ_DOCUMENTO;NUMBER;22;Y;0;6;1689984;9287;NO;Sequencial documento;FK_DOC_R_ASS (FOREIGN KEY: ENABLED)
TRAMITA;ASSINATURA;1826369;N;4;DAT_ASSINADO;TIMESTAMP(6);11;Y;6;11;1772776;53593;NO;Data e hora da assinatura; (: )
TRAMITA;ASSINATURA;1826369;N;5;STA_ASSINADO;NUMBER;22;Y;0;3;2;0;NO;Campo que define se foi ou nao assinado o documento; (: )
TRAMITA;ASSINATURA;1826369;N;6;SEQ_USUARIO;NUMBER;22;Y;0;5;95968;0;NO;Sequencial usuario;FK_USU_R_ASS (FOREIGN KEY: ENABLED)
TRAMITA;ASSINATURA;1826369;N;7;DAT_CRIACAO;TIMESTAMP(6);11;Y;6;11;1824288;2081;NO;Data e hora da criacao do assinador; (: )
TRAMITA;ASSINATURA;1826369;N;8;DAT_CARGA_ETL;DATE;7;Y;;3;1;1457137;NO;Migra��o do sistema VIPRO; (: )
TRAMITA;ASSINATURA;1826369;N;9;SEQ_SISTEMA_VIPRO;NUMBER;22;Y;0;3;368288;1457137;NO;Migra��o do sistema VIPRO; (: )
TRAMITA;ASSINATURA;1826369;N;10;STA_ASSINADOR_SECEX;NUMBER;22;Y;0;0;0;1826369;NO;; (: )
TRAMITA;ASSINATURA_AUD;1767431;N;1;SEQ_ASSINATURA;NUMBER;22;N;0;6;1455872;0;NO;sequencial assinatura;PK_ASSINATURA_AUD (PRIMARY KEY: ENABLED)- SYS_C00195217 (C: ENABLED)
TRAMITA;ASSINATURA_AUD;1767431;N;2;REV;NUMBER;22;N;0;6;1688832;0;NO;envers audit column;PK_ASSINATURA_AUD (PRIMARY KEY: ENABLED)- SYS_C00195218 (C: ENABLED)
TRAMITA;ASSINATURA_AUD;1767431;N;3;REVTYPE;NUMBER;22;Y;0;3;2;0;NO;envers audit column; (: )
TRAMITA;ASSINATURA_AUD;1767431;N;4;DSC_ASSINATURA;VARCHAR2;255;Y;;0;0;1767431;NO;informacoes da assinatura; (: )
TRAMITA;ASSINATURA_AUD;1767431;N;5;SEQ_DOCUMENTO;NUMBER;22;Y;0;0;0;1767431;NO;Sequencial documento; (: )
TRAMITA;ASSINATURA_AUD;1767431;N;6;DAT_ASSINADO;TIMESTAMP(6);11;Y;6;10;1409920;350890;NO;Data e hora da assinatura; (: )
TRAMITA;ASSINATURA_AUD;1767431;N;7;STA_ASSINADO;NUMBER;22;Y;0;3;2;0;NO;Campo que define se foi ou nao assinado o documento; (: )
TRAMITA;ASSINATURA_AUD;1767431;N;8;SEQ_USUARIO;NUMBER;22;Y;0;5;75712;0;NO;Sequencial usuario; (: )
TRAMITA;ASSINATURA_AUD;1767431;N;9;DAT_CRIACAO;TIMESTAMP(6);11;Y;6;11;1458944;2644;NO;Data e hora da criacao do assinador; (: )
TRAMITA;ASSINATURA_AUD;1767431;N;10;STA_ASSINADOR_SECEX;NUMBER;22;Y;0;0;0;1767431;NO;; (: )
TRAMITA;ASSUNTO;556;N;1;SEQ_ASSUNTO;NUMBER;22;N;0;4;556;0;NO;sequencial assunto;PK_ASSUNTO (PRIMARY KEY: ENABLED)- SYS_C00195085 (C: ENABLED)
TRAMITA;ASSUNTO;556;N;2;DSC_ASSUNTO;VARCHAR2;255;Y;;43;551;0;NO;descricao assunto; (: )
TRAMITA;ASSUNTO;556;N;3;SEQ_ASSUNTO_CATEG;NUMBER;22;Y;0;4;75;0;NO;sequencial assunto categoria;FK_ASS_CAT_R_ASS (FOREIGN KEY: ENABLED)
TRAMITA;ASSUNTO;556;N;4;SEQ_FASE_INICIAL;NUMBER;22;Y;0;4;10;0;NO;sequencial fase;FK_FAS_R_ASS (FOREIGN KEY: ENABLED)
