OWNER;TABLE_NAME;TAB_COMMENTS;NUM_ROWS;DUPLICATED;COLUMN_ID;COLUMN_NAME;DATA_TYPE;DATA_LENGTH;NULLABLE;DATA_SCALE;AVG_COL_LEN;NUM_DISTINCT;NUM_NULLS;DEFAULT_ON_NULL;COL_COMMENTS;CONSTRAINTS
CONTA_CORRENTE;ARQUIVO_ETL;Arquivos ETL;4067.0;N;3.0;DAT_CRIACAO_ARQUIVO;DATE;7;Y;;8.0;1439.0;0.0;NO;Data/hora de cria��o do arquivo; (: )
CONTA_CORRENTE;ARQUIVO_ETL;Arquivos ETL;4067.0;N;2.0;NOM_ARQUIVO_ETL;VARCHAR2;100;N;;36.0;3908.0;0.0;NO;Nome do arquivo;SYS_C001551459 (C: ENABLED)
CONTA_CORRENTE;ARQUIVO_ETL;Arquivos ETL;4067.0;N;1.0;SEQ_ARQUIVO_ETL;NUMBER;22;N;0.0;5.0;4067.0;0.0;NO;Sequencial da tabela;PK_ARQUIVO_ETL (PRIMARY KEY: ENABLED)- SYS_C001551458 (C: ENABLED)
CONTA_CORRENTE;ARQUIVO_ETL;Arquivos ETL;4067.0;N;4.0;TIP_ARQUIVO;VARCHAR2;30;Y;;23.0;8.0;0.0;NO;Tipo do Arquivo; (: )
CONTA_CORRENTE;AUDITORIA_ENTIDADES;Guarda as auditorias das entidades;56110690.0;N;2.0;COD_MATRICULA_USUARIO;VARCHAR2;255;Y;;3.0;1037.0;44131422.0;NO;guarda o codigo da matricula do usuario; (: )
CONTA_CORRENTE;AUDITORIA_ENTIDADES;Guarda as auditorias das entidades;56110690.0;N;3.0;DAT_DATA_MODIFICACAO;DATE;7;Y;;8.0;8630272.0;0.0;NO;Data e hora da inclusao/alteracao do registro.; (: )
CONTA_CORRENTE;AUDITORIA_ENTIDADES;Guarda as auditorias das entidades;56110690.0;N;4.0;DAT_TIMESTAMP;TIMESTAMP(6);11;Y;6.0;11.0;55341056.0;0.0;NO;Representacao numerica do campo DAT_DATA_MODIFICACAO, exigido pelo hibernate.; (: )
CONTA_CORRENTE;AUDITORIA_ENTIDADES;Guarda as auditorias das entidades;56110690.0;N;1.0;SEQ_AUDITORIA;NUMBER;22;N;0.0;6.0;56110690.0;0.0;NO;guarda a sequencia da auditoria;PK_AUDITORIA_ENTIDADES (PRIMARY KEY: ENABLED)- SYS_C001518469 (C: ENABLED)
CONTA_CORRENTE;CNAE_LEI_DESCONTO;CNAEs relacionados na Lei dos descontos;17.0;N;2.0;COD_CAE;NUMBER;22;N;0.0;6.0;17.0;0.0;NO;CNAE relacionado na Lei;FK_CAE_R_CNAE_LEI (FOREIGN KEY: ENABLED)- PK_CNAE_LEI_DESCONTO (PRIMARY KEY: ENABLED)- SYS_C001551483 (C: ENABLED)
CONTA_CORRENTE;CNAE_LEI_DESCONTO;CNAEs relacionados na Lei dos descontos;17.0;N;1.0;SEQ_LEI_DESCONTO;NUMBER;22;N;0.0;4.0;1.0;0.0;NO;Sequencial da tabela;FK_LEI_DESCONTO_R_CNAE_LEI (FOREIGN KEY: ENABLED)- PK_CNAE_LEI_DESCONTO (PRIMARY KEY: ENABLED)- SYS_C001551482 (C: ENABLED)
CONTA_CORRENTE;DEBITO;Tabela para armazenamento da gera��o de debitos na base de dados da SEFAZ.;91996535.0;N;4.0;COD_INDICADOR;NUMBER;22;Y;0.0;3.0;1.0;95196.0;NO;C�digo do Indicador Financeiro;FK_IND_FIN_R_DEB (FOREIGN KEY: ENABLED)
CONTA_CORRENTE;DEBITO;Tabela para armazenamento da gera��o de debitos na base de dados da SEFAZ.;91996535.0;N;5.0;COD_PRODUTO_SERVICO;NUMBER;22;Y;0.0;0.0;0.0;91996535.0;NO;C�digo de produto/servi�o ( COD-PRODUTO-SERVICO );FK_PRO_SER_R_DEB (FOREIGN KEY: ENABLED)
CONTA_CORRENTE;DEBITO;Tabela para armazenamento da gera��o de debitos na base de dados da SEFAZ.;91996535.0;N;3.0;COD_RECEITA;NUMBER;22;Y;0.0;4.0;17.0;0.0;NO;C�digo da receita ( COD-RECEITA-CRD );FK_COD_REC_R_DEB (FOREIGN KEY: ENABLED)
CONTA_CORRENTE;DEBITO;Tabela para armazenamento da gera��o de debitos na base de dados da SEFAZ.;91996535.0;N;8.0;DAT_CORRECAO;DATE;7;Y;;3.0;5206.0;75434641.0;NO;Data para armazenamento da data de corre��o.; (: )
CONTA_CORRENTE;DEBITO;Tabela para armazenamento da gera��o de debitos na base de dados da SEFAZ.;91996535.0;N;12.0;DAT_INCLUSAO;DATE;7;N;;8.0;7384.0;0.0;NO;Campo com a data de inclus�o do d�bito.;SYS_C001517479 (C: ENABLED)
CONTA_CORRENTE;DEBITO;Tabela para armazenamento da gera��o de debitos na base de dados da SEFAZ.;91996535.0;N;7.0;DAT_VENCIMENTO;DATE;7;N;;8.0;5187.0;0.0;NO;Campo para armazenamento da data de vencimento do d�bito.;SYS_C001517476 (C: ENABLED)
CONTA_CORRENTE;DEBITO;Tabela para armazenamento da gera��o de debitos na base de dados da SEFAZ.;91996535.0;N;14.0;NUM_ANO_REFERENCIA;NUMBER;22;N;0.0;4.0;36.0;0.0;NO;Campo com o ano de refer�ncia do d�bito.;SYS_C001517481 (C: ENABLED)
