OWNER;TABLE_NAME;TAB_COMMENTS;NUM_ROWS;DUPLICATED;COLUMN_ID;COLUMN_NAME;DATA_TYPE;DATA_LENGTH;NULLABLE;DATA_SCALE;AVG_COL_LEN;NUM_DISTINCT;NUM_NULLS;DEFAULT_ON_NULL;COL_COMMENTS;CONSTRAINTS
COPAF;CNAE_DECRETO_PARCELAMENTO;Rela��o dos CNAEs associados ao Decreto de Parcelamento;2.0;N;2.0;COD_CAE;NUMBER;22;N;0.0;6.0;1.0;0.0;NO;CNAE associado ao Decreto de Parcelamento;FK_CAE_R_CNAE_DECRETO (FOREIGN KEY: ENABLED)- PK_CNAE_DECRETO_PARCELAMENTO (PRIMARY KEY: ENABLED)- SYS_C001525954 (C: ENABLED)
COPAF;CNAE_DECRETO_PARCELAMENTO;Rela��o dos CNAEs associados ao Decreto de Parcelamento;2.0;N;1.0;SEQ_DECRETO_PARCELAMENTO;NUMBER;22;N;0.0;3.0;2.0;0.0;NO;Sequencial identificador do Decreto de Parcelamento;FK_DECRETO_R_CNAE_DECRETO (FOREIGN KEY: ENABLED)- PK_CNAE_DECRETO_PARCELAMENTO (PRIMARY KEY: ENABLED)- SYS_C001525953 (C: ENABLED)
COPAF;DEBITO_DECRETO;;;N;4.0;DAT_FIM;DATE;7;Y;;;;;NO;; (: )
COPAF;DEBITO_DECRETO;;;N;5.0;DAT_INICIO;DATE;7;Y;;;;;NO;; (: )
COPAF;DEBITO_DECRETO;;;N;2.0;SEQ_DEBITO;NUMBER;22;N;0.0;;;;NO;;FK_DEBITO_R_DEBITO_DEC (FOREIGN KEY: ENABLED)- SYS_C001563775 (C: ENABLED)- SYS_C001563776 (PRIMARY KEY: ENABLED)- UK_DEBITO_DECRETO_1 (UNIQUE: ENABLED)
COPAF;DEBITO_DECRETO;;;N;3.0;SEQ_DEBITO_DECRETO;NUMBER;22;N;0.0;;;;NO;;SYS_C001563875 (C: ENABLED)
COPAF;DEBITO_DECRETO;;;N;1.0;SEQ_DECRETO;NUMBER;22;N;0.0;;;;NO;;FK_DECRETO_R_DEBITO_DEC (FOREIGN KEY: ENABLED)- SYS_C001563774 (C: ENABLED)- SYS_C001563776 (PRIMARY KEY: ENABLED)
COPAF;DEBITO_DECRETO;;;N;6.0;SEQ_DECRETO_PARCELAMENTO;NUMBER;22;N;0.0;;;;NO;;SYS_C001563876 (C: ENABLED)- UK_DEBITO_DECRETO_1 (UNIQUE: ENABLED)
COPAF;DEBITO_DECRETO;;;N;7.0;SEQ_USUARIO;NUMBER;22;Y;0.0;;;;NO;; (: )
COPAF;DEBITO_DECRETO_PARCELAMENTO;;788.0;N;2.0;DAT_FIM;DATE;7;Y;;8.0;1.0;0.0;NO;; (: )
