OWNER;TABLE_NAME;TAB_COMMENTS;NUM_ROWS;DUPLICATED;COLUMN_ID;COLUMN_NAME;DATA_TYPE;DATA_LENGTH;NULLABLE;DATA_SCALE;AVG_COL_LEN;NUM_DISTINCT;NUM_NULLS;DEFAULT_ON_NULL;COL_COMMENTS;CONSTRAINTS
CONSEG;ACESSO;;392377.0;N;2.0;DAT_CONEXAO;DATE;7;N;;8.0;392192.0;0.0;NO;Data da entrada no sistema;SYS_C00132260 (C: ENABLED)
CONSEG;ACESSO;;392377.0;N;7.0;DAT_DESCONEXAO;DATE;7;Y;;1.0;0.0;392377.0;NO;Data da sa�da do sistema; (: )
CONSEG;ACESSO;;392377.0;N;4.0;NOM_MAQUINA_NT;VARCHAR2;30;N;;14.0;1342.0;0.0;NO;;SYS_C00132262 (C: ENABLED)
CONSEG;ACESSO;;392377.0;N;5.0;NOM_SISTEMA;VARCHAR2;10;N;;7.0;12.0;0.0;NO;Nome do sistema aplicativo (CADASTRO,COMETA,SID);ACESSO_SISTEMA_FK (FOREIGN KEY: ENABLED)- SYS_C00132263 (C: ENABLED)
CONSEG;ACESSO;;392377.0;N;3.0;NOM_USUARIO_NT;VARCHAR2;30;N;;9.0;1400.0;0.0;NO;;SYS_C00132261 (C: ENABLED)
CONSEG;ACESSO;;392377.0;N;1.0;SEQ_ACESSO;NUMBER;22;N;0.0;5.0;392377.0;0.0;NO;;ACESSO_PK (PRIMARY KEY: ENABLED)- SYS_C00132259 (C: ENABLED)
CONSEG;ACESSO;;392377.0;N;6.0;SEQ_USUARIO;NUMBER;22;N;0.0;5.0;696.0;0.0;NO;Sequencial do usu�rio;ACESSO_USUARIO_FK (FOREIGN KEY: ENABLED)- SYS_C00132264 (C: ENABLED)
CONSEG;CARGO_PERMITIDO_GRUPO;;0.0;N;2.0;NOM_GRUPO;VARCHAR2;12;N;;0.0;0.0;0.0;NO;Nome do Grupo;CAR_PER_GRUPO_FK (FOREIGN KEY: ENABLED)- CAR_PER_PK (PRIMARY KEY: ENABLED)- SYS_C00132267 (C: ENABLED)
CONSEG;CARGO_PERMITIDO_GRUPO;;0.0;N;1.0;SEQ_ACESSO;NUMBER;22;N;0.0;0.0;0.0;0.0;NO;Seq�encial da conex�o onde foi alterado ou criado o registro;SYS_C00132266 (C: ENABLED)
CONSEG;CARGO_PERMITIDO_GRUPO;;0.0;N;3.0;SEQ_CARGO_FUNCAO;NUMBER;22;N;0.0;0.0;0.0;0.0;NO;;CAR_PER_CAR_FUN_FK (FOREIGN KEY: ENABLED)- CAR_PER_PK (PRIMARY KEY: ENABLED)- SYS_C00132268 (C: ENABLED)
CONSEG;DESATIVADOS_AD;;5504.0;N;1.0;MATRICULA;CHAR;8;Y;;9.0;5504.0;0.0;NO;; (: )
CONSEG;GRUPO;;60.0;N;2.0;DSC_GRUPO;VARCHAR2;240;N;;25.0;52.0;0.0;NO;Descri��o do Grupo;SYS_C00132271 (C: ENABLED)
CONSEG;GRUPO;;60.0;N;1.0;NOM_GRUPO;VARCHAR2;12;N;;10.0;60.0;0.0;NO;Nome do Grupo;GRUPO_PK (PRIMARY KEY: ENABLED)- SYS_C00132270 (C: ENABLED)
CONSEG;GRUPO;;60.0;N;4.0;NOM_ROLE;VARCHAR2;40;N;;14.0;58.0;0.0;NO;Nome da role que ser� setada na aplica��o para os usu�rios do grupo;SYS_C00132273 (C: ENABLED)
CONSEG;GRUPO;;60.0;N;7.0;NOM_SISTEMA;VARCHAR2;10;N;;8.0;16.0;0.0;NO;Nome do Sistema aplicativo (CADASTRO,COMETA,SID);GRUPO_SISTEMA_FK (FOREIGN KEY: ENABLED)- SYS_C00132276 (C: ENABLED)
CONSEG;GRUPO;;60.0;N;6.0;SEQ_ACESSO;NUMBER;22;N;0.0;5.0;31.0;0.0;NO;Sequencial da conex�o onde foi alterado ou criado o registro;SYS_C00132275 (C: ENABLED)
CONSEG;GRUPO;;60.0;N;5.0;STA_GESTOR;VARCHAR2;1;N;;2.0;2.0;0.0;NO;Status que indica se esse � um grupo de gestores ou n�o;AVCON_318827_STA_G_001 (C: ENABLED)- SYS_C00132274 (C: ENABLED)
