OWNER;TABLE_NAME;TAB_COMMENTS;NUM_ROWS;DUPLICATED;COLUMN_ID;COLUMN_NAME;DATA_TYPE;DATA_LENGTH;NULLABLE;DATA_SCALE;AVG_COL_LEN;NUM_DISTINCT;NUM_NULLS;DEFAULT_ON_NULL;COL_COMMENTS;CONSTRAINTS
RECEITA2;ARQUIVO_PAGAMENTO;"Mant�m os arquivos de pagamento incorporados, seja do tipo Rajada ou Consolidado, e indica seu status de processamento. Mant�m dados do ""A""- HEADER e ""Z"" - TRAILLER.";1125862.0;N;19.0;COD_IDENTIFICACAO_TRANS;NUMBER;22;Y;0.0;2.0;15180.0;1096691.0;NO;C�digo identificador do Arquivo no AIX, considerando Instituita�ao Arrecadadora e Sequencial do Arquivo (XX YYY SSSSSS). Inclu�do apenas para carga ETL do legado.; (: )
RECEITA2;ARQUIVO_PAGAMENTO;"Mant�m os arquivos de pagamento incorporados, seja do tipo Rajada ou Consolidado, e indica seu status de processamento. Mant�m dados do ""A""- HEADER e ""Z"" - TRAILLER.";1125862.0;N;3.0;COD_REMESSA;NUMBER;22;N;0.0;3.0;11120.0;0.0;NO;"C�digo da remessa indicado no arquivo ""A"" - Header, na posi�ao 2 a 2 do arquivo de DAE e GNRE.
C�digo da remessa indicado no arquivo ""1"" - Header, na posi�ao 38 a 43 do arquivo de DAS";SYS_C001528286 (C: ENABLED)
RECEITA2;ARQUIVO_PAGAMENTO;"Mant�m os arquivos de pagamento incorporados, seja do tipo Rajada ou Consolidado, e indica seu status de processamento. Mant�m dados do ""A""- HEADER e ""Z"" - TRAILLER.";1125862.0;N;12.0;DAT_CARGA_ARQUIVO;DATE;7;N;;8.0;1098112.0;0.0;NO;Data que foi realizada a carga dos dados do arquivo na tabela;SYS_C001528294 (C: ENABLED)
RECEITA2;ARQUIVO_PAGAMENTO;"Mant�m os arquivos de pagamento incorporados, seja do tipo Rajada ou Consolidado, e indica seu status de processamento. Mant�m dados do ""A""- HEADER e ""Z"" - TRAILLER.";1125862.0;N;20.0;DAT_CARGA_ETL;DATE;7;Y;;8.0;378592.0;0.0;NO;Data de cria��o do registro, para uso de carga para a Nuvem; (: )
RECEITA2;ARQUIVO_PAGAMENTO;"Mant�m os arquivos de pagamento incorporados, seja do tipo Rajada ou Consolidado, e indica seu status de processamento. Mant�m dados do ""A""- HEADER e ""Z"" - TRAILLER.";1125862.0;N;18.0;DAT_FIM_PROCESSAMENTO;DATE;7;Y;;8.0;459232.0;5.0;NO;Data/hora final do processamento do arquivo; (: )
RECEITA2;ARQUIVO_PAGAMENTO;"Mant�m os arquivos de pagamento incorporados, seja do tipo Rajada ou Consolidado, e indica seu status de processamento. Mant�m dados do ""A""- HEADER e ""Z"" - TRAILLER.";1125862.0;N;4.0;DAT_GERACAO_ARQUIVO;DATE;7;N;;8.0;3551.0;0.0;NO;"Data de gera�ao do arquivo de pagamento indicado no arquivo ""A"" - Header, na posi�ao 66 a 73 do arquivo de DAE e GNRE.
Data de gera�ao do arquivo de pagamento indicado no arquivo ""1"" - Header, na posi�ao 30 a 37 do arquivo de DAS";SYS_C001528287 (C: ENABLED)
RECEITA2;ARQUIVO_PAGAMENTO;"Mant�m os arquivos de pagamento incorporados, seja do tipo Rajada ou Consolidado, e indica seu status de processamento. Mant�m dados do ""A""- HEADER e ""Z"" - TRAILLER.";1125862.0;N;17.0;DAT_INICIO_PROCESSAMENTO;DATE;7;Y;;8.0;455584.0;5.0;NO;Data/hora de in�cio de processamento do arquivo; (: )
RECEITA2;ARQUIVO_PAGAMENTO;"Mant�m os arquivos de pagamento incorporados, seja do tipo Rajada ou Consolidado, e indica seu status de processamento. Mant�m dados do ""A""- HEADER e ""Z"" - TRAILLER.";1125862.0;N;13.0;DAT_PAGAMENTO_UTILIZADA;DATE;7;N;;8.0;2770.0;0.0;NO;"Data de pagamento que mais se repete como data de pagamento dos registros do tipo ""G"", do arquivo processado";SYS_C001528295 (C: ENABLED)
RECEITA2;ARQUIVO_PAGAMENTO;"Mant�m os arquivos de pagamento incorporados, seja do tipo Rajada ou Consolidado, e indica seu status de processamento. Mant�m dados do ""A""- HEADER e ""Z"" - TRAILLER.";1125862.0;N;10.0;DSC_PASTA_DESTINO;VARCHAR2;150;Y;;41.0;6.0;2.0;NO;Descri�ao do caminho de destino do arquivo; (: )
RECEITA2;ARQUIVO_PAGAMENTO;"Mant�m os arquivos de pagamento incorporados, seja do tipo Rajada ou Consolidado, e indica seu status de processamento. Mant�m dados do ""A""- HEADER e ""Z"" - TRAILLER.";1125862.0;N;9.0;DSC_PASTA_ORIGEM;VARCHAR2;150;N;;33.0;8.0;0.0;NO;Descri�ao do caminho de origem do arquivo;SYS_C001528292 (C: ENABLED)
RECEITA2;ARQUIVO_PAGAMENTO;"Mant�m os arquivos de pagamento incorporados, seja do tipo Rajada ou Consolidado, e indica seu status de processamento. Mant�m dados do ""A""- HEADER e ""Z"" - TRAILLER.";1125862.0;N;11.0;NOM_ARQUIVO;VARCHAR2;100;N;;42.0;1101824.0;0.0;NO;Nome do arquivo recebido e carregado;SYS_C001528293 (C: ENABLED)
RECEITA2;ARQUIVO_PAGAMENTO;"Mant�m os arquivos de pagamento incorporados, seja do tipo Rajada ou Consolidado, e indica seu status de processamento. Mant�m dados do ""A""- HEADER e ""Z"" - TRAILLER.";1125862.0;N;5.0;NUM_SEQUENCIAL_ARQUIVO;NUMBER;22;N;0.0;5.0;571520.0;0.0;NO;"N�mero sequencial do arquivo (NSA), indicado no arquivo ""A"" - Header, na posi�ao 74 a 79 do arquivo de DAE e GNRE.
N�mero sequencial do arquivo (NSA), indicado no arquivo ""1"" - Header, na posi�ao 2 a 9 do arquivo de DAS";ARQUIVO_PAGAMENTO_UK1 (UNIQUE: ENABLED)- SYS_C001528288 (C: ENABLED)
RECEITA2;ARQUIVO_PAGAMENTO;"Mant�m os arquivos de pagamento incorporados, seja do tipo Rajada ou Consolidado, e indica seu status de processamento. Mant�m dados do ""A""- HEADER e ""Z"" - TRAILLER.";1125862.0;N;7.0;NUM_TOTAL_REGISTRO;NUMBER;22;N;0.0;4.0;12066.0;0.0;NO;"Quantidade de registros indicado no arquivo ""Z"" - Trailler, na posi�ao 2 a 7 do arquivo de DAE e GNRE.
Quantidade de registros indicado no arquivo ""3"" - Trailler, na posi�ao 10 a 15 do arquivo de DAS";SYS_C001528290 (C: ENABLED)
RECEITA2;ARQUIVO_PAGAMENTO;"Mant�m os arquivos de pagamento incorporados, seja do tipo Rajada ou Consolidado, e indica seu status de processamento. Mant�m dados do ""A""- HEADER e ""Z"" - TRAILLER.";1125862.0;N;6.0;NUM_VERSAO_LAYOUT;NUMBER;22;N;0.0;3.0;4.0;0.0;NO;"Versao do layout do arquivo indicado no arquivo ""A"" - Header, na posi�ao 80 a 81 do arquivo de DAE e GNRE.
Versao do layout do arquivo indicado no arquivo ""1"" - Header, na posi�ao 44 a 45 do arquivo de DAS";SYS_C001528289 (C: ENABLED)
