OWNER;TABLE_NAME;TAB_COMMENTS;NUM_ROWS;DUPLICATED;COLUMN_ID;COLUMN_NAME;DATA_TYPE;DATA_LENGTH;NULLABLE;DATA_SCALE;AVG_COL_LEN;NUM_DISTINCT;NUM_NULLS;DEFAULT_ON_NULL;COL_COMMENTS;CONSTRAINTS
SETA;AGENCIA;;0.0;N;5.0;NOM_AGENCIA;VARCHAR2;20;N;;0.0;0.0;0.0;NO;;SYS_C00152908 (C: ENABLED)
SETA;AGENCIA;;0.0;N;3.0;NUM_AGENCIA;NUMBER;22;N;0.0;0.0;0.0;0.0;NO;;SYS_C00152906 (C: ENABLED)
SETA;AGENCIA;;0.0;N;6.0;NUM_BANCO;NUMBER;22;N;0.0;0.0;0.0;0.0;NO;;SYS_C00152909 (C: ENABLED)
SETA;AGENCIA;;0.0;N;4.0;NUM_DIGITO;VARCHAR2;2;N;;0.0;0.0;0.0;NO;;SYS_C00152907 (C: ENABLED)
SETA;AGENCIA;;0.0;N;1.0;SEQ_AGENCIA;NUMBER;22;N;0.0;0.0;0.0;0.0;NO;Sequ�ncial da Ag�ncia;PK_AGENCIA (PRIMARY KEY: ENABLED)- SYS_C00152904 (C: ENABLED)
SETA;AGENCIA;;0.0;N;2.0;SEQ_BANCO;NUMBER;22;N;0.0;0.0;0.0;0.0;NO;SEQUENCIAL DA TABELA BANCO;AGENCIA_BANCO_FK (FOREIGN KEY: ENABLED)- SYS_C00152905 (C: ENABLED)
SETA;BAIRRO;;32081.0;N;2.0;NOM_BAIRRO;VARCHAR2;80;N;;17.0;19308.0;0.0;NO;Nome oficial do Bairro conforme ECT.;SYS_C00152912 (C: ENABLED)
SETA;BAIRRO;;32081.0;N;1.0;SEQ_BAIRRO;NUMBER;22;N;0.0;5.0;32081.0;0.0;NO;Sequencial do Bairro;BAIRRO_PK (PRIMARY KEY: ENABLED)- SYS_C00152911 (C: ENABLED)
SETA;BANCO;Tabela de bancos conforme site da FEBRABAN;172.0;N;2.0;NOM_BANCO;VARCHAR2;60;N;;26.0;172.0;0.0;NO;Nome do banco;SYS_C00152915 (C: ENABLED)
SETA;BANCO;Tabela de bancos conforme site da FEBRABAN;172.0;N;1.0;NUM_BANCO;NUMBER;22;N;0.0;4.0;157.0;0.0;NO;N�mero do banco (C�digo utilizado para a compensa��o de valores pelos bancos);SYS_C00152914 (C: ENABLED)
SETA;BANCO;Tabela de bancos conforme site da FEBRABAN;172.0;N;3.0;SEQ_BANCO;NUMBER;22;N;0.0;4.0;172.0;0.0;NO;SEQUENCIAL DA ENTIDADE BANCO;BANCO_PK (PRIMARY KEY: ENABLED)- SYS_C00152916 (C: ENABLED)
SETA;BANCO;Tabela de bancos conforme site da FEBRABAN;172.0;N;4.0;STA_BANCO;NUMBER;22;Y;0.0;3.0;2.0;0.0;NO;"Status do Banco
0 - Inativo
1 - Ativo"; (: )
SETA;CAE;;3724.0;N;1.0;COD_CAE;NUMBER;22;N;0.0;6.0;3724.0;0.0;NO;;CAE_PK (PRIMARY KEY: ENABLED)- SYS_C00152918 (C: ENABLED)
SETA;CAE;;3724.0;N;3.0;COD_CNAE;NUMBER;22;Y;0.0;3.0;2.0;0.0;NO;; (: )
SETA;CAE;;3724.0;N;8.0;COD_SEGMENTO_ECONOMICO;NUMBER;22;Y;0.0;3.0;14.0;1031.0;NO;Codigo identificador do Segmento Economico; (: )
SETA;CAE;;3724.0;N;15.0;COD_SITUACAO_ANCORA;NUMBER;22;Y;0.0;2.0;3.0;2363.0;NO;Indica se o Contribuinte associado ao CNAE pode ser �ncora; (: )
