OWNER;TABLE_NAME;TAB_COMMENTS;NUM_ROWS;DUPLICATED;COLUMN_ID;COLUMN_NAME;DATA_TYPE;DATA_LENGTH;NULLABLE;DATA_SCALE;AVG_COL_LEN;NUM_DISTINCT;NUM_NULLS;DEFAULT_ON_NULL;COL_COMMENTS;CONSTRAINTS
SINFA;AGRICULTOR;Agricultor participante do Programa de Aquisi��o de Alimentos;1090.0;N;2.0;COD_DAP;VARCHAR2;50;N;;25.0;1051.0;0.0;NO;Codigo da Declara��o de Aptid�o ao Pronaf;SYS_C0059601 (C: ENABLED)
SINFA;AGRICULTOR;Agricultor participante do Programa de Aquisi��o de Alimentos;1090.0;N;1.0;SEQ_PESSOA_FISICA_JUR;NUMBER;22;N;0.0;6.0;1090.0;0.0;NO;identificador da pessoa fisica do cadastro associado ao Agricultor.;PK_AGRICULTOR (PRIMARY KEY: ENABLED)- SYS_C0059600 (C: ENABLED)
SINFA;AGRICULTOR;Agricultor participante do Programa de Aquisi��o de Alimentos;1090.0;N;3.0;VLR_LIM_ISENCAO;NUMBER;22;N;4.0;4.0;1.0;0.0;NO;Valor do Limite de Isencao Anual de nota do Agricultor.;SYS_C0059602 (C: ENABLED)
SINFA;ARTESAO;Artes�os que emitem e/ou emitiram nota fiscal avulsa;13586.0;N;4.0;DSC_MOTIVO_CADASTRO;VARCHAR2;500;Y;;0.0;0.0;13586.0;NO;Motivo para cadastro de artes�o criado pela SEFAZ atraves do Sinfa.; (: )
SINFA;ARTESAO;Artes�os que emitem e/ou emitiram nota fiscal avulsa;13586.0;N;2.0;NUM_CARTEIRA;VARCHAR2;7;N;;6.0;13586.0;0.0;NO;Numero da carteira do artes�o;SYS_C0059605 (C: ENABLED)
SINFA;ARTESAO;Artes�os que emitem e/ou emitiram nota fiscal avulsa;13586.0;N;1.0;SEQ_PESSOA_FISICA_JUR;NUMBER;22;N;0.0;6.0;13586.0;0.0;NO;Identificador da Pessoa do cadastro associada ao artes�o.;PK_ARTESAO (PRIMARY KEY: ENABLED)- SYS_C0059604 (C: ENABLED)
SINFA;ARTESAO;Artes�os que emitem e/ou emitiram nota fiscal avulsa;13586.0;N;3.0;STA_ARTESAO;VARCHAR2;1;Y;;2.0;1.0;0.0;NO;Status da situa��o do artes�o;CKC_STA_ARTESAO_ARTESAO (C: ENABLED)
SINFA;ARTESAO_TIPOLOGIA;Tipologia do Artes?o (Area de atuacao do artes?o).;17061.0;N;3.0;DSC_TIPOLOGIA;VARCHAR2;100;N;;15.0;16.0;0.0;NO;descri??o da tipologia do artes?o (Area de atuacao do artes?o);SYS_C0059610 (C: ENABLED)
SINFA;ARTESAO_TIPOLOGIA;Tipologia do Artes?o (Area de atuacao do artes?o).;17061.0;N;4.0;QTD_PECAS;NUMBER;22;N;0.0;4.0;14.0;0.0;NO;limite de pe?as disponiveis dessa tipologia para o artesao.;SYS_C0059611 (C: ENABLED)
SINFA;ARTESAO_TIPOLOGIA;Tipologia do Artes?o (Area de atuacao do artes?o).;17061.0;N;1.0;SEQ_ARTESAO_TIPOLOGIA;NUMBER;22;N;0.0;6.0;17061.0;0.0;NO;Codigo de Artesao Tipologia.;PK_ARTESAO_TIPOLOGIA (PRIMARY KEY: ENABLED)- SYS_C0059608 (C: ENABLED)
