OWNER;TABLE_NAME;TAB_COMMENTS;NUM_ROWS;DUPLICATED;COLUMN_ID;COLUMN_NAME;DATA_TYPE;DATA_LENGTH;NULLABLE;DATA_SCALE;AVG_COL_LEN;NUM_DISTINCT;NUM_NULLS;DEFAULT_ON_NULL;COL_COMMENTS;CONSTRAINTS
SISCOEX2;ACRESCIMO_DEDUCAO;TABELA PARA REGISTRO DE ACRESCIMO DE DEDUCAO;1294.0;N;4.0;COD_ACRESCIMO_DEDUCAO;NUMBER;22;Y;0.0;3.0;6.0;0.0;NO;"C�digo do acr�scimo/dedu��o. Referencia: codigo.Dom�nio:
Dispon�vel nas Tabelas Aduaneiras";FK_TIPO_ACR_DED_R_ACR_DED (FOREIGN KEY: ENABLED)
SISCOEX2;ACRESCIMO_DEDUCAO;TABELA PARA REGISTRO DE ACRESCIMO DE DEDUCAO;1294.0;N;2.0;COD_MOEDA;NUMBER;22;Y;0.0;4.0;8.0;0.0;NO;"Moeda negociada para o acr�scimo/dedu��o. Referencia:
moeda. Dom�nio: Tabela de moedas.";FK_MOEDA_R_ACRESCIMO_DEDUCAO (FOREIGN KEY: ENABLED)
SISCOEX2;ACRESCIMO_DEDUCAO;TABELA PARA REGISTRO DE ACRESCIMO DE DEDUCAO;1294.0;N;3.0;COD_TIPO_OPERACAO;NUMBER;22;Y;0.0;3.0;2.0;0.0;NO;"Tipo da opera��o (acr�scimo ou dedu��o). Referencia:
tipoOperacao.
Dom�nio: 1 - Acr�scimo , 2 � Dedu��o";FK_TIPO_ACR_DED_R_ACR_DED (FOREIGN KEY: ENABLED)
SISCOEX2;ACRESCIMO_DEDUCAO;TABELA PARA REGISTRO DE ACRESCIMO DE DEDUCAO;1294.0;N;1.0;SEQ_ACRESCIMO_DEDUCAO;NUMBER;22;N;0.0;4.0;1294.0;0.0;NO;SEQ ACRESCIMO DEDUCAO;PK_ACRESCIMO_DEDUCAO (PRIMARY KEY: ENABLED)- SYS_C001546796 (C: ENABLED)
SISCOEX2;ACRESCIMO_DEDUCAO;TABELA PARA REGISTRO DE ACRESCIMO DE DEDUCAO;1294.0;N;5.0;SEQ_ITEM;NUMBER;22;Y;0.0;5.0;1211.0;0.0;NO;SEQ ITEM;FK_ITEM_DUIMP_R_ACRESCIMO_DED (FOREIGN KEY: ENABLED)
SISCOEX2;ACRESCIMO_DEDUCAO;TABELA PARA REGISTRO DE ACRESCIMO DE DEDUCAO;1294.0;N;6.0;VLR_ACRESC_DED_MOEDA_NEGOCIADA;NUMBER;22;Y;2.0;5.0;898.0;0.0;NO;; (: )
SISCOEX2;ACRESCIMO_DEDUCAO;TABELA PARA REGISTRO DE ACRESCIMO DE DEDUCAO;1294.0;N;7.0;VLR_ACRESC_DED_REAL;NUMBER;22;Y;2.0;5.0;945.0;0.0;NO;; (: )
SISCOEX2;ALCANCE_BENEFICIO;TABELA QUE ARMAZENA ALCANCES_BENEFICIO;;N;2.0;COD_ALCANCE;NUMBER;22;Y;0.0;;;;NO;CODIGO DO TERMO DE ACORDO; (: )
SISCOEX2;ALCANCE_BENEFICIO;TABELA QUE ARMAZENA ALCANCES_BENEFICIO;;N;3.0;SEQ_ALCANCE_BENEFICIO;NUMBER;22;N;0.0;;;;NO;;SYS_C001560209 (C: ENABLED)
SISCOEX2;ALCANCE_BENEFICIO;TABELA QUE ARMAZENA ALCANCES_BENEFICIO;;N;1.0;SEQ_BENEFICIO;NUMBER;22;Y;0.0;;;;NO;SEQUENCIAL DA TABELA DE BENEFICIOS;FK_ALCANCE_R_BENEFICIO (FOREIGN KEY: ENABLED)
SISCOEX2;ATRIBUTO_DINAMICO;TABELA PARA REGISTRO DE ATRIBUTO DINAMICO;79508.0;N;3.0;COD_ATRIBUTO_DINAMICO;VARCHAR2;12;Y;;10.0;28.0;0.0;NO;Obtido do Cat�logo de Produtos. Referencia: codigo.; (: )
SISCOEX2;ATRIBUTO_DINAMICO;TABELA PARA REGISTRO DE ATRIBUTO DINAMICO;79508.0;N;1.0;SEQ_ATRIBUTO_DINAMICO;NUMBER;22;N;0.0;5.0;79508.0;0.0;NO;SEQ ATRIBUTO DINAMICO;PK_ATRIBUTO_DINAMICO (PRIMARY KEY: ENABLED)- SYS_C001546798 (C: ENABLED)
SISCOEX2;ATRIBUTO_DINAMICO;TABELA PARA REGISTRO DE ATRIBUTO DINAMICO;79508.0;N;2.0;SEQ_ITEM;NUMBER;22;Y;0.0;5.0;21690.0;0.0;NO;SEQ ITEM;FK_ITEM_DUIMP_R_ATR_DIN (FOREIGN KEY: ENABLED)
SISCOEX2;ATRIBUTO_DINAMICO;TABELA PARA REGISTRO DE ATRIBUTO DINAMICO;79508.0;N;4.0;TXT_VLR_ATRIBUTO_DINAMICO;VARCHAR2;1024;Y;;4.0;3730.0;54851.0;NO;Obtido do Cat�logo de Produtos. Referencia: valor.; (: )
SISCOEX2;ATRIBUTO_DINAMICO_TRIB;TABELA PARA REGISTRO DE ATRIBUTOS DINAMICOS TRIB;14319.0;N;3.0;COD_ATRIBUTO_DINAMICO_TRIB;VARCHAR2;12;Y;;10.0;36.0;0.0;NO;Codigo do atributo. Referencia: codigo.; (: )
SISCOEX2;ATRIBUTO_DINAMICO_TRIB;TABELA PARA REGISTRO DE ATRIBUTOS DINAMICOS TRIB;14319.0;N;5.0;DSC_ATRIBUTO_DINAMICO_TRIB;VARCHAR2;80;Y;;15.0;36.0;0.0;NO;Descri��o do abritubo. Referencia: descricao.; (: )
SISCOEX2;ATRIBUTO_DINAMICO_TRIB;TABELA PARA REGISTRO DE ATRIBUTOS DINAMICOS TRIB;14319.0;N;1.0;SEQ_ATRIBUTO_DINAMICO_TRIB;NUMBER;22;N;0.0;5.0;14319.0;0.0;NO;SEQ ATRIBUTO DINAMICO TRIB;PK_ATRIBUTO_DINAMICO_TRIB (PRIMARY KEY: ENABLED)- SYS_C001546800 (C: ENABLED)
SISCOEX2;ATRIBUTO_DINAMICO_TRIB;TABELA PARA REGISTRO DE ATRIBUTOS DINAMICOS TRIB;14319.0;N;2.0;SEQ_TRIBUTO_APLICADO;NUMBER;22;Y;0.0;5.0;12909.0;0.0;NO;SEQ TRIBUTO APLICADO;FK_ITEM_TRI_APL_R_ATR_DIN_TRIB (FOREIGN KEY: ENABLED)
SISCOEX2;ATRIBUTO_DINAMICO_TRIB;TABELA PARA REGISTRO DE ATRIBUTOS DINAMICOS TRIB;14319.0;N;6.0;TXT_TIPO_ATRIBUTO;VARCHAR2;100;Y;;0.0;0.0;14319.0;NO;Tipo do Atributo. Referencia: tipoAtributo.; (: )
SISCOEX2;ATRIBUTO_DINAMICO_TRIB;TABELA PARA REGISTRO DE ATRIBUTOS DINAMICOS TRIB;14319.0;N;7.0;TXT_TIPO_CAMPO_ADICIONAL;VARCHAR2;100;Y;;6.0;4.0;0.0;NO;Tipo do Campo Adicional. Referencia: tipoCampoAdicional.; (: )
SISCOEX2;ATRIBUTO_DINAMICO_TRIB;TABELA PARA REGISTRO DE ATRIBUTOS DINAMICOS TRIB;14319.0;N;4.0;VLR_ATRIBUTO_DINAMICO_TRIB;VARCHAR2;1000;Y;;5.0;170.0;0.0;NO;Valor do atributo.Referencia: valor; (: )
SISCOEX2;BENEFICIO;TABELA QUE ARMAZENA OS DADOS DOS BENEFICIOS;1.0;N;3.0;COD_TIPO_TRAT_TRIB;NUMBER;22;Y;0.0;3.0;1.0;0.0;NO;CODIGO DO TRATAMENTO TRIBUTARIO;FK_BENEFICIO_R_TIP_TRAT (FOREIGN KEY: ENABLED)
SISCOEX2;BENEFICIO;TABELA QUE ARMAZENA OS DADOS DOS BENEFICIOS;1.0;N;6.0;DAT_FIM_VIGENCIA;DATE;7;Y;;1.0;0.0;1.0;NO;DATA DO FIM DA VIGENCIA DO BENEFICIO; (: )
SISCOEX2;BENEFICIO;TABELA QUE ARMAZENA OS DADOS DOS BENEFICIOS;1.0;N;7.0;DAT_INCLUSAO;DATE;7;Y;;8.0;1.0;0.0;NO;DATA DE INCLUSAO DO BENEFICIO; (: )
SISCOEX2;BENEFICIO;TABELA QUE ARMAZENA OS DADOS DOS BENEFICIOS;1.0;N;5.0;DAT_INI_VIGENCIA;DATE;7;Y;;8.0;1.0;0.0;NO;DATA DE INICIO DA VIGENCIA DO BENEFICIO; (: )
SISCOEX2;BENEFICIO;TABELA QUE ARMAZENA OS DADOS DOS BENEFICIOS;1.0;N;2.0;DSC_BENEFICIO;VARCHAR2;200;Y;;44.0;1.0;0.0;NO;DESCRICAO DO BENEFICIO; (: )
SISCOEX2;BENEFICIO;TABELA QUE ARMAZENA OS DADOS DOS BENEFICIOS;1.0;N;9.0;DSC_FIM_FUNDAM_LEGAL;VARCHAR2;2000;Y;;2.0;1.0;0.0;NO;FIM TEXTO FUNAMENTACAO LEGAL; (: )
SISCOEX2;BENEFICIO;TABELA QUE ARMAZENA OS DADOS DOS BENEFICIOS;1.0;N;10.0;DSC_FUNDAM_LEGAL_IMPRESSA;VARCHAR2;2000;Y;;0.0;0.0;1.0;NO;FUNDAMENTACAO LEGAL CONCATENADA; (: )
SISCOEX2;BENEFICIO;TABELA QUE ARMAZENA OS DADOS DOS BENEFICIOS;1.0;N;8.0;DSC_INI_FUNDAM_LEGAL;VARCHAR2;2000;Y;;96.0;1.0;0.0;NO;INICIO TEXTO FUNDAMENTACAO LEGAL; (: )
SISCOEX2;BENEFICIO;TABELA QUE ARMAZENA OS DADOS DOS BENEFICIOS;1.0;N;1.0;SEQ_BENEFICIO;NUMBER;22;N;0.0;3.0;1.0;0.0;NO;SEQUENCIAL DA TABELA DE BENEFICIOS;PK_BENEFICIO (PRIMARY KEY: ENABLED)- SYS_C001546802 (C: ENABLED)
SISCOEX2;BENEFICIO;TABELA QUE ARMAZENA OS DADOS DOS BENEFICIOS;1.0;N;12.0;STA_APENAS_PROTOC_INTEN;NUMBER;22;Y;0.0;2.0;1.0;0.0;NO;STATUS SE EXIGIR APENAS PROTOCOLO DE INTENCAO; (: )
SISCOEX2;BENEFICIO;TABELA QUE ARMAZENA OS DADOS DOS BENEFICIOS;1.0;N;4.0;STA_BENEFICIO;NUMBER;22;Y;0.0;3.0;1.0;0.0;NO;STATUS DO BENEFICIO; (: )
SISCOEX2;BENEFICIO;TABELA QUE ARMAZENA OS DADOS DOS BENEFICIOS;1.0;N;17.0;STA_CERTIF_SIMILAR;NUMBER;22;Y;0.0;2.0;1.0;0.0;NO;STATUS CERTIFICADO SIMILAR; (: )
SISCOEX2;BENEFICIO;TABELA QUE ARMAZENA OS DADOS DOS BENEFICIOS;1.0;N;21.0;STA_COMPET_CEBEF;NUMBER;22;Y;0.0;2.0;1.0;0.0;NO;STATUS COMPETENCIA CEBEF; (: )
SISCOEX2;BENEFICIO;TABELA QUE ARMAZENA OS DADOS DOS BENEFICIOS;1.0;N;11.0;STA_DIF_VINC_TRM_ACORDO;NUMBER;22;Y;0.0;2.0;1.0;0.0;NO;STATUS DIFERIMENTO VICULO TERMO DE ACORDO; (: )
SISCOEX2;BENEFICIO;TABELA QUE ARMAZENA OS DADOS DOS BENEFICIOS;1.0;N;19.0;STA_ENVOLVE_DIFERIM;NUMBER;22;Y;0.0;2.0;1.0;0.0;NO;STATUS ENVOLVE DIFERIMENTO; (: )
SISCOEX2;BENEFICIO;TABELA QUE ARMAZENA OS DADOS DOS BENEFICIOS;1.0;N;20.0;STA_EXIGE_CERT_NEG_DEB;NUMBER;22;Y;0.0;3.0;1.0;0.0;NO;STATUS EXIGE CERTIDAO NEGATIVA DE DEBITOS; (: )
