OWNER;TABLE_NAME;TAB_COMMENTS;NUM_ROWS;DUPLICATED;COLUMN_ID;COLUMN_NAME;DATA_TYPE;DATA_LENGTH;NULLABLE;DATA_SCALE;AVG_COL_LEN;NUM_DISTINCT;NUM_NULLS;DEFAULT_ON_NULL;COL_COMMENTS;CONSTRAINTS
SITRAM2;ACAO_FISCAL;Ac?o Fiscal que se inicia coma apresentac?o de uma determinada carga.;35497213.0;N;31.0;COD_CNPJ_DUTOVIARIO;NUMBER;22;Y;0.0;2.0;28.0;35497047.0;NO;CNPJ da empresa do duto por onde passou a carga.; (: )
SITRAM2;ACAO_FISCAL;Ac?o Fiscal que se inicia coma apresentac?o de uma determinada carga.;35497213.0;N;24.0;COD_CNPJ_TRANSPORTADORA;NUMBER;22;Y;0.0;4.0;94288.0;23425419.0;NO;CNPJ da transportadora ou empresa condutora que trouxe a carga.; (: )
SITRAM2;ACAO_FISCAL;Ac?o Fiscal que se inicia coma apresentac?o de uma determinada carga.;35497213.0;N;3.0;COD_CONFIG_ORGAO;NUMBER;22;Y;0.0;3.0;1.0;4186.0;NO;Codigo do Posto ou outro Org?o Local que tenha base de dados local.;FK_ACE_R_ACA_FIS (FOREIGN KEY: ENABLED)
SITRAM2;ACAO_FISCAL;Ac?o Fiscal que se inicia coma apresentac?o de uma determinada carga.;35497213.0;N;27.0;COD_CPF_MOTORISTA;NUMBER;22;Y;0.0;4.0;548544.0;21134579.0;NO;CPF do motorista que trouxe a carga.; (: )
SITRAM2;ACAO_FISCAL;Ac?o Fiscal que se inicia coma apresentac?o de uma determinada carga.;35497213.0;N;56.0;COD_CPF_RESP_DEVOL;NUMBER;22;Y;0.0;2.0;528.0;35474805.0;NO;; (: )
SITRAM2;ACAO_FISCAL;Ac?o Fiscal que se inicia coma apresentac?o de uma determinada carga.;35497213.0;N;54.0;COD_CPF_RESP_ENTREGA;NUMBER;22;Y;0.0;2.0;1140.0;35473328.0;NO;; (: )
SITRAM2;ACAO_FISCAL;Ac?o Fiscal que se inicia coma apresentac?o de uma determinada carga.;35497213.0;N;30.0;COD_IDENTIDADE_MOTORISTA;VARCHAR2;35;Y;;3.0;442592.0;29193807.0;NO;RG do motorista que trouxe a carga.; (: )
SITRAM2;ACAO_FISCAL;Ac?o Fiscal que se inicia coma apresentac?o de uma determinada carga.;35497213.0;N;37.0;COD_ORGAO_LOCAL;NUMBER;22;N;0.0;5.0;69.0;0.0;NO;Codigo do org?o local onde a ac?o fiscal de transito foi aberta.;FK_ORG_LOC_R_ACA_FIS (FOREIGN KEY: ENABLED)- SYS_C00190173 (C: ENABLED)
SITRAM2;ACAO_FISCAL;Ac?o Fiscal que se inicia coma apresentac?o de uma determinada carga.;35497213.0;N;51.0;COD_RESPONSAVEL;NUMBER;22;Y;0.0;5.0;2881280.0;14649814.0;NO;CPF, CNPJ ou IE do responsavel.; (: )
SITRAM2;ACAO_FISCAL;Ac?o Fiscal que se inicia coma apresentac?o de uma determinada carga.;35497213.0;N;13.0;COD_UF_PLACA_PRINCIPAL;NUMBER;22;Y;0.0;2.0;27.0;33424952.0;NO;UF da placa primaria.;FK_UNI_FED_R_ACA_FIS_PRI (FOREIGN KEY: ENABLED)
