OWNER;TABLE_NAME;TAB_COMMENTS;NUM_ROWS;DUPLICATED;COLUMN_ID;COLUMN_NAME;DATA_TYPE;DATA_LENGTH;NULLABLE;DATA_SCALE;AVG_COL_LEN;NUM_DISTINCT;NUM_NULLS;DEFAULT_ON_NULL;COL_COMMENTS;CONSTRAINTS
IPVA2;ANALISE_RESTITUICAO;Dados sobre a an�lise da restituicao;12837.0;N;4.0;DAT_ANALISE;DATE;7;Y;;8.0;12824.0;0.0;NO;Data da an�lise da Restitui��o;SYS_C00116557 (C: ENABLED)
IPVA2;ANALISE_RESTITUICAO;Dados sobre a an�lise da restituicao;12837.0;N;1.0;SEQ_ANALISE_RESTITUICAO;NUMBER;22;N;0.0;5.0;12837.0;0.0;NO;Identificador �nico da tabela , alimentado pela SE_ANALISE_RESTITUICAO;PK_ANALISE_RESTITUICAO (PRIMARY KEY: ENABLED)- SYS_C00116553 (C: ENABLED)
IPVA2;ANALISE_RESTITUICAO;Dados sobre a an�lise da restituicao;12837.0;N;2.0;SEQ_PROCESSO;NUMBER;22;Y;0.0;5.0;6856.0;0.0;NO;Identificador referenciado da restituicao.;FK_RESTITU_R_ANA_REST (FOREIGN KEY: ENABLED)- SYS_C00116554 (C: ENABLED)
IPVA2;ANALISE_RESTITUICAO;Dados sobre a an�lise da restituicao;12837.0;N;3.0;SEQ_USUARIO;NUMBER;22;Y;0.0;5.0;25.0;0.0;NO;Identificador referenciado do Usu�rio que realizou a an�lise;SYS_C00116555 (C: ENABLED)
IPVA2;ANALISE_RESTITUICAO;Dados sobre a an�lise da restituicao;12837.0;N;5.0;TIP_ANALISE;CHAR;1;Y;;2.0;2.0;0.0;NO;Identiffica o tipo de an�lise que foi realizada, de restitui��o (R) ou de pagamento (P).;CKC_TIP_ANALISE_ANALISE_ (C: ENABLED)- SYS_C00116559 (C: ENABLED)
IPVA2;ANALISE_RESTITUICAO;Dados sobre a an�lise da restituicao;12837.0;N;6.0;TXT_JUSTIFICATIVA;VARCHAR2;200;Y;;44.0;5992.0;39.0;NO;Justificativa para o indeferimento da restitui��o; (: )
IPVA2;AUDITA_CILINDRADA;;0.0;N;5.0;DATA;DATE;7;Y;;0.0;0.0;0.0;NO;; (: )
IPVA2;AUDITA_CILINDRADA;;0.0;N;4.0;PROGRAMA;VARCHAR2;30;Y;;0.0;0.0;0.0;NO;; (: )
IPVA2;AUDITA_CILINDRADA;;0.0;N;3.0;TERMINAL;VARCHAR2;30;Y;;0.0;0.0;0.0;NO;; (: )
IPVA2;AUDITA_CILINDRADA;;0.0;N;1.0;USUARIO;VARCHAR2;30;Y;;0.0;0.0;0.0;NO;; (: )
IPVA2;AUDITA_CILINDRADA;;0.0;N;2.0;USUARIO_OS;VARCHAR2;30;Y;;0.0;0.0;0.0;NO;; (: )
IPVA2;AUDITORIA_ENTIDADES;Guarda as auditorias das entidades;104596118.0;N;2.0;COD_MATRICULA_USUARIO;VARCHAR2;255;Y;;6.0;1250.0;45580013.0;NO;guarda o codigo da matricula do usuario; (: )
IPVA2;AUDITORIA_ENTIDADES;Guarda as auditorias das entidades;104596118.0;N;3.0;DAT_DATA_MODIFICACAO;DATE;7;Y;;8.0;32774144.0;0.0;NO;Data e hora da inclusao/alteracao do registro.; (: )
IPVA2;AUDITORIA_ENTIDADES;Guarda as auditorias das entidades;104596118.0;N;4.0;DAT_TIMESTAMP;TIMESTAMP(6);11;Y;6.0;11.0;102989824.0;0.0;NO;Representacao numerica do campo DAT_DATA_MODIFICACAO, exigido pelo hibernate.; (: )
