"OWNER";"TABLE_NAME";"COLUMN_ID";"COLUMN_NAME";"DATA_TYPE";"DATA_LENGTH";"NULLABLE";"DATA_SCALE";"AVG_COL_LEN";"NUM_DISTINCT";"NUM_NULLS";"DENSITY";"DEFAULT_ON_NULL";"NUM_BUCKETS";"COMMENTS";"CONSTRAINTS"
"DIMP";"DIMP";1;"SEQ_R1110";"NUMBER";22;"N";0;7;175702016;0;0,00000000569145433140619;"NO";1;"Sequencial do arquivo R1110";"SYS_C00264788 (CHECK, ENABLED)"
"DIMP";"DIMP";2;"SEQ_R1100";"NUMBER";22;"Y";0;6;20678656;0;0,000000048359042289789;"NO";1;"Sequencial da tabela R1100";" (, )"
"DIMP";"DIMP";3;"COD_MCAPTURA";"VARCHAR2";30;"Y";;15;5796352;0;0,00000017252230368342;"NO";1;"Código do meio de captura (campo 02 do Registro 0200).";" (, )"
"DIMP";"DIMP";4;"DAT_OPERACAO";"DATE";7;"Y";;8;1734;0;0,000576701268742791;"NO";1;"Data da operação ";" (, )"
"DIMP";"DIMP";5;"VLR_OPERACAO";"NUMBER";22;"Y";2;5;2413312;0;0,00000041436830380821;"NO";1;"Valor total diário das operações realizadas na data ";" (, )"
"DIMP";"DIMP";6;"QTD_OPERACAO";"NUMBER";22;"Y";0;4;5505;0;0,000181653042688465;"NO";1;"Quantidade total diária de operações realizadas na data";" (, )"
"DIMP";"DIMP";7;"NUM_CNPJ_ADQUIRENTE";"NUMBER";22;"Y";0;7;4985;66224578;0,000200601805416249;"NO";1;"CNPJ da Adquirente ou subadquirente que autorizou a transação, em branco para quando o declarante for o próprio 
adquirente. ";" (, )"
"DIMP";"DIMP_RECUPERACAO";1;"SEQ_REGISTRO_TEMPORARIO";"NUMBER";22;"N";0;7;855719683;0;0,000000001168606986454;"NO";1;"Sequencial da tabela REGISTRO_TEMPORARIO";"PK_DIMP_RECUPERACAO (PRIMARY KEY, ENABLED); SYS_C00284212 (CHECK, ENABLED)"
"DIMP";"DIMP_RECUPERACAO";2;"SEQ_REGISTRO";"NUMBER";22;"Y";0;0;0;855719683;0;"NO";0;"sequencial do registro filho";" (, )"
"DIMP";"DIMP_RECUPERACAO";3;"SEQ_REGISTRO_PAI";"NUMBER";22;"Y";0;0;0;855719683;0;"NO";0;"sequencial do registro pai";" (, )"
"DIMP";"DIMP_RECUPERACAO";4;"NOM_ARQUIVO";"VARCHAR2";300;"Y";;17;61;0;0,000000000584303493226999;"NO";61;"Nome do arquivo incorporado";" (, )"
"DIMP";"DIMP_RECUPERACAO";5;"DSC_CAMPO_01";"VARCHAR2";300;"Y";;5;199606272;531328049;0;"NO";254;"descrição do campo 01";" (, )"
"DIMP";"DIMP_RECUPERACAO";6;"DSC_CAMPO_02";"VARCHAR2";300;"Y";;3;64634880;717301282;0;"NO";254;"descrição do campo 02";" (, )"
"DIMP";"DIMP_RECUPERACAO";7;"DSC_CAMPO_03";"VARCHAR2";300;"Y";;28;763232256;78142327;0,00000000131021716147175;"NO";1;"descrição do campo 03";" (, )"
"DIMP";"DIMP_RECUPERACAO";8;"DSC_CAMPO_04";"VARCHAR2";300;"Y";;2;2;0;0,000000000584303493226999;"NO";2;"descrição do campo 04";" (, )"
"DIMP";"DIMP_RECUPERACAO";9;"DSC_CAMPO_05";"VARCHAR2";300;"Y";;3;13;77859497;0,000000000642789037154808;"NO";13;"descrição do campo 05";" (, )"
"DIMP";"DIMP_RECUPERACAO";10;"DSC_CAMPO_06";"VARCHAR2";300;"Y";;7;89344;0;0,000011;"NO";254;"descrição do campo 06";" (, )"
"DIMP";"DIMP_RECUPERACAO";11;"DSC_CAMPO_07";"VARCHAR2";300;"Y";;7;1245952;0;0;"NO";254;"descrição do campo 07";" (, )"
"DIMP";"DIMP_RECUPERACAO";12;"DSC_CAMPO_08";"VARCHAR2";300;"Y";;3;8;0;0,000000000584303493226999;"NO";8;"descrição do campo 08";" (, )"
"DIMP";"DIMP_RECUPERACAO";13;"DSC_CAMPO_09";"VARCHAR2";300;"Y";;0;0;855719683;0;"NO";0;"descrição do campo 09";" (, )"
"DIMP";"DIMP_RECUPERACAO";14;"DSC_CAMPO_10";"VARCHAR2";300;"Y";;2;2;286133710;0,5;"NO";1;"descrição do campo 10";" (, )"
"DIMP";"DIMP_RECUPERACAO";15;"DSC_CAMPO_11";"VARCHAR2";300;"Y";;2;2;288236153;0,5;"NO";1;"descrição do campo 11";" (, )"
"DIMP";"DIMP_RECUPERACAO";16;"DSC_CAMPO_12";"VARCHAR2";300;"Y";;0;0;855719683;0;"NO";0;"descrição do campo 12";" (, )"
"DIMP";"DIMP_RECUPERACAO";17;"DSC_CAMPO_13";"VARCHAR2";300;"Y";;27;4;0;0,25;"NO";1;"descrição do campo 13";" (, )"
"DIMP";"DIMP_RECUPERACAO";18;"DSC_CAMPO_14";"VARCHAR2";300;"Y";;0;0;855719683;0;"NO";0;"descrição do campo 14";" (, )"
"DIMP";"DIMP_RECUPERACAO";19;"DSC_CAMPO_15";"VARCHAR2";300;"Y";;0;0;855719683;0;"NO";0;"descrição do campo 15";" (, )"
"DIMP";"DIMP_RECUPERACAO";20;"DSC_CAMPO_16";"VARCHAR2";300;"Y";;0;0;855719683;0;"NO";0;"descrição do campo 16";" (, )"
"DIMP";"DIMP_RECUPERACAO";21;"DSC_CAMPO_17";"VARCHAR2";300;"Y";;0;0;855719683;0;"NO";0;"descrição do campo 17";" (, )"
"DIMP";"DIMP_RECUPERACAO";22;"DSC_CAMPO_18";"VARCHAR2";300;"Y";;0;0;855719683;0;"NO";0;"descrição do campo 18";" (, )"
"DIMP";"DIMP_RECUPERACAO";23;"DSC_CAMPO_19";"VARCHAR2";300;"Y";;0;0;855719683;0;"NO";0;"descrição do campo 19";" (, )"
"DIMP";"DIMP_RECUPERACAO";24;"DSC_CAMPO_20";"VARCHAR2";300;"Y";;0;0;855719683;0;"NO";0;"descrição do campo 20";" (, )"
"DIMP";"INDICADOR_MOVIMENTO";1;"SEQ_R0000";"NUMBER";22;"N";0;5;79337;0;0,0000126044594577562;"NO";1;"Sequencial único do arquivo";"FK_R0000_R_INDICADOR_MOVIMENTO (FOREIGN KEY, ENABLED); PK_INDICADOR_MOVIMENTO (PRIMARY KEY, ENABLED); SYS_C00245707 (CHECK, ENABLED)"
"DIMP";"INDICADOR_MOVIMENTO";2;"TIP_IND_MOV_R0001";"NUMBER";22;"Y";0;3;1;0;1;"NO";1;"Indicador de movimento: (R0001)
0 - Bloco sem dados informados 1 - Bloco com dados informados.";" (, )"
"DIMP";"INDICADOR_MOVIMENTO";3;"TIP_IND_MOV_R1001";"NUMBER";22;"Y";0;3;2;0;0,5;"NO";1;"Indicador de movimento: (R1001)
0 - Bloco sem dados informados 1 - Bloco com dados informados.";" (, )"
"DIMP";"INDICADOR_MOVIMENTO";4;"TIP_IND_MOV_R9001";"NUMBER";22;"Y";0;3;1;0;1;"NO";1;"Indicador de movimento: (R9001)
0 - Bloco sem dados informados 1 - Bloco com dados informados.";" (, )"
"DIMP";"RA_MESTRE";1;"SEQ_RA";"NUMBER";22;"N";0;5;78740;0;0,0000127000254000508;"NO";1;"Sequencial único do arquivo";"PK_RA_MESTRE (PRIMARY KEY, ENABLED); SYS_C00258063 (CHECK, ENABLED)"
"DIMP";"RA_MESTRE";2;"COD_VER_RCAD";"NUMBER";22;"Y";0;3;4;0;0,25;"NO";1;"Código da versão do leiaute do RCAD ¿01¿ 				
";" (, )"
"DIMP";"RA_MESTRE";3;"COD_VER";"NUMBER";22;"Y";0;3;2;0;0,5;"NO";1;"Código da versão do leiaute da DIMP --	0000_02	
";" (, )"
"DIMP";"RA_MESTRE";4;"COD_FIN";"NUMBER";22;"Y";0;3;8;0;0,125;"NO";1;"Código de finalidade do arquivo. -	0000_03	
";" (, )"
"DIMP";"RA_MESTRE";5;"COD_UF_FISCO";"VARCHAR2";2;"Y";;3;1;0;1;"NO";1;"Sigla da unidade da federação do Fisco para o qual está sendo prestada a informação	-	0000_04	
";" (, )"
"DIMP";"RA_MESTRE";6;"COD_CNPJ";"NUMBER";22;"Y";0;9;358;0;0,00279329608938547;"NO";1;"Número da inscrição do CNPJ	-	0000_05	
";" (, )"
"DIMP";"RA_MESTRE";7;"DSC_NOME";"VARCHAR2";150;"Y";;33;434;0;0,00230414746543779;"NO";1;"Nome Empresarial (Razão Social/denominação) da Instituição de pagamento. 		-	-	0000_06	
";" (, )"
"DIMP";"RA_MESTRE";8;"DAT_INI";"DATE";7;"Y";;8;92;0;0,0108695652173913;"NO";1;"Data Inicial da Informações prestadas			0000_07	
";" (, )"
"DIMP";"RA_MESTRE";9;"DAT_FIN";"DATE";7;"Y";;8;92;0;0,0108695652173913;"NO";1;"Data Final da Informações prestadas			0000_08	
";" (, )"
"DIMP";"RA_MESTRE";10;"TIP_AMB";"NUMBER";22;"Y";0;3;2;0;0,5;"NO";1;"Tipo de Ambiente	-		0000_09	
";" (, )"
"DIMP";"RA_MESTRE";11;"NUM_MES_VAL";"NUMBER";22;"Y";0;5;34;0;0,0294117647058824;"NO";1;"Ano e mês que o arquivo DIMP foi validado	-		0000_10	
";" (, )"
"DIMP";"RA_MESTRE";12;"COD_UF";"VARCHAR2";2;"Y";;3;14;0;0,0714285714285714;"NO";1;"Sigla da Unidade da Federação	-	0005_06	
";" (, )"
"DIMP";"RA_MESTRE";13;"NOM_RESP";"VARCHAR2";150;"Y";;16;357;0;0,00280112044817927;"NO";1;"Nome da Pessoa Responsável pelo Contato	-			0005_07	";" (, )"
"DIMP";"RA_MESTRE";14;"NUM_FONE";"NUMBER";22;"Y";0;8;357;0;0,00280112044817927;"NO";1;"Número do telefone para contato	-		0005_08";" (, )"
"DIMP";"RA_MESTRE";15;"DSC_EMAIL";"VARCHAR2";150;"Y";;32;378;0;0,00264550264550265;"NO";1;"Endereço Eletrônico oficial para atendimento de solicitações -			0005_09";" (, )"
"DIMP";"RA_MESTRE";16;"TIP_NACIONAL";"NUMBER";22;"Y";0;3;2;0;0,5;"NO";1;"Indicador que existe transação nacional neste arquivo. 
Caso exista pelo menos 1 Registro 1100_04 marcado não (0) 0 ¿ não / 1 ¿ sim	1100_04";" (, )"
"DIMP";"RA_MESTRE";17;"TIP_COMEX";"NUMBER";22;"Y";0;3;2;0;0,5;"NO";1;"Indicador que existe  Comex neste arquivo.  Caso exista pelo menos 1 Registro 1100_04 marcado sim (1) 0 ¿ não / 1 ¿ sim			1100_04	";" (, )"
"DIMP";"RA_MESTRE";18;"NOM_ARQUIVO";"VARCHAR2";260;"Y";;17;77096;0;0,0000129708415481996;"NO";1;"nome do arquivo";" (, )"
"DIMP";"RA_MESTRE";19;"DAT_INCORPORACAO";"DATE";7;"Y";;8;656;0;0,00152439024390244;"NO";1;"Data em que o ETL incorporou os dados";" (, )"
"DIMP";"RB_BENEFICIARIO";1;"SEQ_RB";"NUMBER";22;"N";0;6;27404049;0;0,0000000364909579602635;"NO";1;"Sequencial único do arquivo";"PK_RB_BENEFICIARIO (PRIMARY KEY, ENABLED); SYS_C00258065 (CHECK, ENABLED)"
"DIMP";"RB_BENEFICIARIO";2;"SEQ_RA";"NUMBER";22;"Y";0;5;7071;0;0,000141422712487626;"NO";1;"Sequencial único do arquivo";"FK_RA_R_RB (FOREIGN KEY, ENABLED)"
"DIMP";"RB_BENEFICIARIO";3;"COD_CNPJ";"NUMBER";22;"Y";0;6;524032;13266089;0,00000190828041035662;"NO";1;"CNPJ do cliente		-	0100_03
";" (, )"
"DIMP";"RB_BENEFICIARIO";4;"COD_CPF";"NUMBER";22;"Y";0;5;1648128;14137960;0,00000060674899036968;"NO";1;"CPF do cliente 		-	0100_04	
";" (, )"
"DIMP";"RB_BENEFICIARIO";5;"DAT_CREDENCIAMENTO";"DATE";7;"Y";;8;12584;0;0,0000794659885568976;"NO";1;"Data do Credenciamento do Beneficiário de pagamento na IP	- 0100_13	
";" (, )"
"DIMP";"RC_VAN";1;"SEQ_RC";"NUMBER";22;"N";0;4;3029;0;0,000330141961043249;"NO";1;"Sequencial único do arquivo";"PK_RC_VAN (PRIMARY KEY, ENABLED); SYS_C00258068 (CHECK, ENABLED)"
"DIMP";"RC_VAN";2;"SEQ_RA";"NUMBER";22;"Y";0;5;482;0;0,0020746887966805;"NO";1;"Sequencial único do arquivo";"FK_RA_R_RC (FOREIGN KEY, ENABLED)"
"DIMP";"RC_VAN";3;"COD_CNPJ";"NUMBER";22;"Y";0;9;94;0;0,0106382978723404;"NO";1;"CNPJ da VAN	-	0105_02";" (, )"
"DIMP";"RC_VAN";4;"NOM_VAN";"VARCHAR2";150;"Y";;20;172;0;0,00581395348837209;"NO";1;"Nome da VAN	-	0105_03	";" (, )"
"DIMP";"RD_CAPTURA";1;"SEQ_RD";"NUMBER";22;"N";0;6;3503485;0;0,000000285430078907145;"NO";1;"Sequencial único do arquivo";"PK_RD_CAPTURA (PRIMARY KEY, ENABLED); SYS_C00258071 (CHECK, ENABLED)"
"DIMP";"RD_CAPTURA";2;"SEQ_RA";"NUMBER";22;"Y";0;4;6239;0;0,000160282096489822;"NO";1;"Sequencial único do arquivo";"FK_RA_R_RD (FOREIGN KEY, ENABLED)"
"DIMP";"RD_CAPTURA";3;"TIP_TECNOLOGIA";"NUMBER";22;"Y";0;3;9;0;0,111111111111111;"NO";1;"TIPO DE TECNOLOGIA		-	0200_04	
";" (, )"
"DIMP";"RD_CAPTURA";4;"TIP_TERM_PROPRIO";"NUMBER";22;"Y";0;3;2;0;0,5;"NO";1;"TERMINAL PRÓPRIO		-	0200_05	
";" (, )"
"DIMP";"RD_CAPTURA";5;"DSC_MARCA";"VARCHAR2";30;"Y";;5;1630;1519551;0,000613496932515337;"NO";1;"Marca indicando a instituição de pagamento no comprovante. - 		0200_06	
";" (, )"
"DIMP";"REGISTRO_TEMPORARIO";1;"SEQ_REGISTRO_TEMPORARIO";"NUMBER";22;"N";0;4;3361;0;0,00029753049687593;"NO";1;"Sequencial da tabela REGISTRO_TEMPORARIO";"PK_REGISTRO_TEMPORARIO (PRIMARY KEY, ENABLED); SYS_C00243424 (CHECK, ENABLED)"
"DIMP";"REGISTRO_TEMPORARIO";2;"SEQ_REGISTRO";"NUMBER";22;"Y";0;7;3334;23;0,0002999400119976;"NO";1;"sequencial do registro filho";" (, )"
"DIMP";"REGISTRO_TEMPORARIO";3;"SEQ_REGISTRO_PAI";"NUMBER";22;"Y";0;6;1115;23;0,000896860986547085;"NO";1;"sequencial do registro pai";" (, )"
"DIMP";"REGISTRO_TEMPORARIO";4;"NOM_ARQUIVO";"VARCHAR2";300;"Y";;17;1;0;1;"NO";1;"Nome do arquivo incorporado";" (, )"
"DIMP";"REGISTRO_TEMPORARIO";5;"DSC_CAMPO_01";"VARCHAR2";300;"Y";;5;16;0;0,000148765248437965;"NO";16;"descrição do campo 01";" (, )"
"DIMP";"REGISTRO_TEMPORARIO";6;"DSC_CAMPO_02";"VARCHAR2";300;"Y";;9;1141;1114;0,000876424189307625;"NO";1;"descrição do campo 02";" (, )"
"DIMP";"REGISTRO_TEMPORARIO";7;"DSC_CAMPO_03";"VARCHAR2";300;"Y";;7;1148;17;0,000871080139372822;"NO";1;"descrição do campo 03";" (, )"
"DIMP";"REGISTRO_TEMPORARIO";8;"DSC_CAMPO_04";"VARCHAR2";300;"Y";;11;1156;26;0,000865051903114187;"NO";1;"descrição do campo 04";" (, )"
"DIMP";"REGISTRO_TEMPORARIO";9;"DSC_CAMPO_05";"VARCHAR2";300;"Y";;6;14;27;0,0714285714285714;"NO";1;"descrição do campo 05";" (, )"
"DIMP";"REGISTRO_TEMPORARIO";10;"DSC_CAMPO_06";"VARCHAR2";300;"Y";;6;27;2100;0,037037037037037;"NO";1;"descrição do campo 06";" (, )"
"DIMP";"REGISTRO_TEMPORARIO";11;"DSC_CAMPO_07";"VARCHAR2";300;"Y";;4;1118;2235;0,000894454382826476;"NO";1;"descrição do campo 07";" (, )"
"DIMP";"REGISTRO_TEMPORARIO";12;"DSC_CAMPO_08";"VARCHAR2";300;"Y";;8;53;2235;0,0188679245283019;"NO";1;"descrição do campo 08";" (, )"
"DIMP";"REGISTRO_TEMPORARIO";13;"DSC_CAMPO_09";"VARCHAR2";300;"Y";;2;14;2235;0,0714285714285714;"NO";1;"descrição do campo 09";" (, )"
"DIMP";"REGISTRO_TEMPORARIO";14;"DSC_CAMPO_10";"VARCHAR2";300;"Y";;2;1;3360;1;"NO";1;"descrição do campo 10";" (, )"
"DIMP";"REGISTRO_TEMPORARIO";15;"DSC_CAMPO_11";"VARCHAR2";300;"Y";;2;1;2257;1;"NO";1;"descrição do campo 11";" (, )"
"DIMP";"REGISTRO_TEMPORARIO";16;"DSC_CAMPO_12";"VARCHAR2";300;"Y";;2;1;2472;1;"NO";1;"descrição do campo 12";" (, )"
"DIMP";"REGISTRO_TEMPORARIO";17;"DSC_CAMPO_13";"VARCHAR2";300;"Y";;2;9;3351;0,111111111111111;"NO";1;"descrição do campo 13";" (, )"
"DIMP";"REGISTRO_TEMPORARIO";18;"DSC_CAMPO_14";"VARCHAR2";300;"Y";;0;0;3361;0;"NO";0;"descrição do campo 14";" (, )"
"DIMP";"REGISTRO_TEMPORARIO";19;"DSC_CAMPO_15";"VARCHAR2";300;"Y";;0;0;3361;0;"NO";0;"descrição do campo 15";" (, )"
"DIMP";"REGISTRO_TEMPORARIO";20;"DSC_CAMPO_16";"VARCHAR2";300;"Y";;0;0;3361;0;"NO";0;"descrição do campo 16";" (, )"
"DIMP";"REGISTRO_TEMPORARIO";21;"DSC_CAMPO_17";"VARCHAR2";300;"Y";;0;0;3361;0;"NO";0;"descrição do campo 17";" (, )"
"DIMP";"REGISTRO_TEMPORARIO";22;"DSC_CAMPO_18";"VARCHAR2";300;"Y";;0;0;3361;0;"NO";0;"descrição do campo 18";" (, )"
"DIMP";"REGISTRO_TEMPORARIO";23;"DSC_CAMPO_19";"VARCHAR2";300;"Y";;0;0;3361;0;"NO";0;"descrição do campo 19";" (, )"
"DIMP";"REGISTRO_TEMPORARIO";24;"DSC_CAMPO_20";"VARCHAR2";300;"Y";;0;0;3361;0;"NO";0;"descrição do campo 20";" (, )"
"DIMP";"REGISTRO_TEMPORARIO_RCAD";1;"SEQ_REGISTRO_TEMPORARIO";"NUMBER";22;"N";0;0;0;0;0;"NO";0;"Sequencial da tabela REGISTRO_TEMPORARIO";"PK_REGISTRO_TEMPORARIO_RCAD (PRIMARY KEY, ENABLED); SYS_C00258077 (CHECK, ENABLED)"
"DIMP";"REGISTRO_TEMPORARIO_RCAD";2;"SEQ_REGISTRO";"NUMBER";22;"Y";0;0;0;0;0;"NO";0;"sequencial do registro filho";" (, )"
"DIMP";"REGISTRO_TEMPORARIO_RCAD";3;"SEQ_REGISTRO_PAI";"NUMBER";22;"Y";0;0;0;0;0;"NO";0;"sequencial do registro pai";" (, )"
"DIMP";"REGISTRO_TEMPORARIO_RCAD";4;"NOM_ARQUIVO";"VARCHAR2";300;"Y";;0;0;0;0;"NO";0;"Nome do arquivo incorporado";" (, )"
"DIMP";"REGISTRO_TEMPORARIO_RCAD";5;"DSC_CAMPO_01";"VARCHAR2";300;"Y";;0;0;0;0;"NO";0;"descrição do campo 01";" (, )"
"DIMP";"REGISTRO_TEMPORARIO_RCAD";6;"DSC_CAMPO_02";"VARCHAR2";300;"Y";;0;0;0;0;"NO";0;"descrição do campo 02";" (, )"
"DIMP";"REGISTRO_TEMPORARIO_RCAD";7;"DSC_CAMPO_03";"VARCHAR2";300;"Y";;0;0;0;0;"NO";0;"descrição do campo 03";" (, )"
"DIMP";"REGISTRO_TEMPORARIO_RCAD";8;"DSC_CAMPO_04";"VARCHAR2";300;"Y";;0;0;0;0;"NO";0;"descrição do campo 04";" (, )"
"DIMP";"REGISTRO_TEMPORARIO_RCAD";9;"DSC_CAMPO_05";"VARCHAR2";300;"Y";;0;0;0;0;"NO";0;"descrição do campo 05";" (, )"
"DIMP";"REGISTRO_TEMPORARIO_RCAD";10;"DSC_CAMPO_06";"VARCHAR2";300;"Y";;0;0;0;0;"NO";0;"descrição do campo 06";" (, )"
"DIMP";"REGISTRO_TEMPORARIO_RCAD";11;"DSC_CAMPO_07";"VARCHAR2";300;"Y";;0;0;0;0;"NO";0;"descrição do campo 07";" (, )"
"DIMP";"REGISTRO_TEMPORARIO_RCAD";12;"DSC_CAMPO_08";"VARCHAR2";300;"Y";;0;0;0;0;"NO";0;"descrição do campo 08";" (, )"
"DIMP";"REGISTRO_TEMPORARIO_RCAD";13;"DSC_CAMPO_09";"VARCHAR2";300;"Y";;0;0;0;0;"NO";0;"descrição do campo 09";" (, )"
"DIMP";"REGISTRO_TEMPORARIO_RCAD";14;"DSC_CAMPO_10";"VARCHAR2";300;"Y";;0;0;0;0;"NO";0;"descrição do campo 10";" (, )"
"DIMP";"REGISTRO_TEMPORARIO_RCAD";15;"DSC_CAMPO_11";"VARCHAR2";300;"Y";;0;0;0;0;"NO";0;"descrição do campo 11";" (, )"
"DIMP";"REGISTRO_TEMPORARIO_RCAD";16;"DSC_CAMPO_12";"VARCHAR2";300;"Y";;0;0;0;0;"NO";0;"descrição do campo 12";" (, )"
"DIMP";"REGISTRO_TEMPORARIO_RCAD";17;"DSC_CAMPO_13";"VARCHAR2";300;"Y";;0;0;0;0;"NO";0;"descrição do campo 13";" (, )"
"DIMP";"REGISTRO_TEMPORARIO_RCAD";18;"DSC_CAMPO_14";"VARCHAR2";300;"Y";;0;0;0;0;"NO";0;"descrição do campo 14";" (, )"
"DIMP";"REGISTRO_TEMPORARIO_RCAD";19;"DSC_CAMPO_15";"VARCHAR2";300;"Y";;0;0;0;0;"NO";0;"descrição do campo 15";" (, )"
"DIMP";"REGISTRO_TEMPORARIO_RCAD";20;"DSC_CAMPO_16";"VARCHAR2";300;"Y";;0;0;0;0;"NO";0;"descrição do campo 16";" (, )"
"DIMP";"REGISTRO_TEMPORARIO_RCAD";21;"DSC_CAMPO_17";"VARCHAR2";300;"Y";;0;0;0;0;"NO";0;"descrição do campo 17";" (, )"
