"OWNER";"TABLE_NAME";"COLUMN_ID";"COLUMN_NAME";"DATA_TYPE";"DATA_LENGTH";"NULLABLE";"DATA_SCALE";"AVG_COL_LEN";"NUM_DISTINCT";"NUM_NULLS";"DENSITY";"DEFAULT_ON_NULL";"NUM_BUCKETS";"COMMENTS";"CONSTRAINTS"
"DTE";"AGENDA";1;"COD_AGENDA";"NUMBER";22;"N";0;0;0;0;0;"NO";0;"Código único do agendamento.";"PK_AGENDA (PRIMARY KEY, ENABLED); SYS_C00171623 (CHECK, ENABLED)"
"DTE";"AGENDA";2;"DAT_REGISTRO";"DATE";7;"N";;0;0;0;0;"NO";0;"Data de registro da agenda.";"SYS_C00226878 (CHECK, ENABLED)"
"DTE";"AGENDA";3;"NUM_DIA";"NUMBER";22;"N";0;0;0;0;0;"NO";0;"Dia da data agendada.";"SYS_C00226879 (CHECK, ENABLED)"
"DTE";"AGENDA";4;"NUM_MES";"NUMBER";22;"N";0;0;0;0;0;"NO";0;"Mês da data agendada.";"SYS_C00226880 (CHECK, ENABLED)"
"DTE";"AGENDA";5;"NUM_ANO";"NUMBER";22;"N";0;0;0;0;0;"NO";0;"Ano da data agendada.";"SYS_C00226881 (CHECK, ENABLED)"
"DTE";"AGENDA";6;"NUM_HORA";"NUMBER";22;"N";0;0;0;0;0;"NO";0;"hora da data agendada.'";"SYS_C00226882 (CHECK, ENABLED)"
"DTE";"AGENDA";7;"NUM_MINUTO";"NUMBER";22;"N";0;0;0;0;0;"NO";0;"Minuto da hora da data agendada.";"SYS_C00226883 (CHECK, ENABLED)"
"DTE";"AGENDA";8;"SEQ_USU_CLIENTE";"NUMBER";22;"N";0;0;0;0;0;"NO";0;"Codigo unico que define a relacao entre o usuario e o cliente.";"FK_USU_CLI_R_AGE (FOREIGN KEY, ENABLED); SYS_C00226884 (CHECK, ENABLED)"
"DTE";"AGENDA";9;"SIT_REGISTRO";"NUMBER";22;"N";0;0;0;0;0;"NO";0;"Situação registro: 1=Agendado; 2=Cancelado; 3=Atendido";"SYS_C00226885 (CHECK, ENABLED)"
"DTE";"ALERTA";1;"COD_USUARIO";"NUMBER";22;"Y";0;6;304768;0;0,000003;"NO";254;"Código único do usuário";"FK_USU_R_ALE (FOREIGN KEY, ENABLED)"
"DTE";"ALERTA";2;"SEQ_ALERTA";"NUMBER";22;"N";0;6;2635033;0;0,000000379501888591149;"NO";1;"Código único do alerta";"PK_ALERTA (PRIMARY KEY, ENABLED); SYS_C00202582 (CHECK, ENABLED)"
"DTE";"ALERTA";3;"DAT_ALERTA";"TIMESTAMP(6)";11;"N";6;11;502880;0;0,00000198854597518295;"NO";1;"Data e hora que o alerta foi criado.";"SYS_C00202583 (CHECK, ENABLED)"
"DTE";"ALERTA";4;"DAT_LEITURA";"TIMESTAMP(6)";11;"Y";6;4;231632;2053149;0,00000431719278856117;"NO";1;"Data e hora que o alerta foi lido.";" (, )"
"DTE";"ALERTA";5;"COD_TIPO_ALERTA";"NUMBER";22;"Y";0;3;7;0;0,000000189750944295574;"NO";7;"Código único do tipo de alerta";"FK_TIP_ALE_R_ALE (FOREIGN KEY, ENABLED)"
"DTE";"ALERTA";6;"DSC_COMPLEMENTO";"VARCHAR2";100;"Y";;8;1497984;0;0,000000667563872511322;"NO";1;"Informação complementar do alerta, como por exemplo o código do comunicado.";" (, )"
"DTE";"ANEXO_MENSAGEM";1;"SEQ_ANEXO_MSG";"NUMBER";22;"N";0;6;4503755;0;0,000000222036944727233;"NO";1;"Identificador único e sequencial de anexos.";"PK_ANEXO_MENSAGEM (PRIMARY KEY, ENABLED); SYS_C00171626 (CHECK, ENABLED)"
"DTE";"ANEXO_MENSAGEM";2;"DAT_ANEXO";"TIMESTAMP(6)";11;"N";6;11;3351808;0;0;"NO";254;"Data que o anexo foi adicionado.";"SYS_C00171627 (CHECK, ENABLED)"
"DTE";"ANEXO_MENSAGEM";3;"TXT_LINK_ANEXO";"VARCHAR2";1024;"N";;128;4325376;0;0;"NO";254;"Url para encontrar o anexo no Alfresco";"SYS_C00171628 (CHECK, ENABLED)"
"DTE";"ANEXO_MENSAGEM";4;"SEQ_DTE_MENSAGEM";"NUMBER";22;"N";0;6;3723264;0;0,000000268581545654565;"NO";1;"Identificadfor único da mensagem";"FK_MSG_R_ANEXO (FOREIGN KEY, ENABLED); SYS_C00171629 (CHECK, ENABLED)"
"DTE";"ANEXO_MENSAGEM";5;"DSC_HASH_ALFRESCO";"VARCHAR2";255;"Y";;6;561408;3940718;0,000002;"NO";254;"";" (, )"
"DTE";"ANEXO_MENSAGEM";6;"SIT_HASH_ENVIADO";"NUMBER";22;"Y";0;3;2;0;0,000000111018472363616;"NO";2;"";" (, )"
"DTE";"APLICACAO";1;"SEQ_APLICACAO";"NUMBER";22;"N";0;3;16;0;0,0625;"NO";1;"Identificador único da aplicação";"PK_APLICACAO (PRIMARY KEY, ENABLED); SYS_C00171631 (CHECK, ENABLED)"
"DTE";"APLICACAO";2;"NOM_APLICACAO";"VARCHAR2";100;"N";;16;15;0;0,03125;"NO";15;"Descritivo que identifica a aplicação.";"SYS_C00171632 (CHECK, ENABLED)"
"DTE";"APLICACAO";3;"DAT_CRIACAO";"TIMESTAMP(6)";11;"N";6;11;14;0;0,0714285714285714;"NO";1;"Data que o registro foi criado.";"SYS_C00171633 (CHECK, ENABLED)"
"DTE";"APLICACAO";4;"STA_REGISTRO";"NUMBER";22;"N";0;3;2;0;0,03125;"NO";2;"Indica se o registro está ativo (1) ou inativo (0) para uso.";"SYS_C00171634 (CHECK, ENABLED)"
