"OWNER";"TABLE_NAME";"COLUMN_ID";"COLUMN_NAME";"DATA_TYPE";"DATA_LENGTH";"NULLABLE";"DATA_SCALE";"AVG_COL_LEN";"NUM_DISTINCT";"NUM_NULLS";"DENSITY";"DEFAULT_ON_NULL";"NUM_BUCKETS";"COMMENTS";"CONSTRAINTS"
"IPVA2";"ANALISE_RESTITUICAO";1;"SEQ_ANALISE_RESTITUICAO";"NUMBER";22;"N";0;5;12837;0;0,0000778998208304121;"NO";1;"Identificador único da tabela , alimentado pela SE_ANALISE_RESTITUICAO";"PK_ANALISE_RESTITUICAO (PRIMARY KEY, ENABLED); SYS_C00116553 (CHECK, ENABLED)"
"IPVA2";"ANALISE_RESTITUICAO";2;"SEQ_PROCESSO";"NUMBER";22;"Y";0;5;6856;0;0,00014585764294049;"NO";1;"Identificador referenciado da restituicao.";"FK_RESTITU_R_ANA_REST (FOREIGN KEY, ENABLED); SYS_C00116554 (CHECK, ENABLED)"
"IPVA2";"ANALISE_RESTITUICAO";3;"SEQ_USUARIO";"NUMBER";22;"Y";0;5;25;0;0,000038949910415206;"NO";25;"Identificador referenciado do Usuário que realizou a análise";"SYS_C00116555 (CHECK, ENABLED)"
"IPVA2";"ANALISE_RESTITUICAO";4;"DAT_ANALISE";"DATE";7;"Y";;8;12824;0;0,000078;"NO";254;"Data da análise da Restituição";"SYS_C00116557 (CHECK, ENABLED)"
"IPVA2";"ANALISE_RESTITUICAO";5;"TIP_ANALISE";"CHAR";1;"Y";;2;2;0;0,5;"NO";1;"Identiffica o tipo de análise que foi realizada, de restituição (R) ou de pagamento (P).";"CKC_TIP_ANALISE_ANALISE_ (CHECK, ENABLED); SYS_C00116559 (CHECK, ENABLED)"
"IPVA2";"ANALISE_RESTITUICAO";6;"TXT_JUSTIFICATIVA";"VARCHAR2";200;"Y";;44;5992;39;0,000166889185580774;"NO";1;"Justificativa para o indeferimento da restituição";" (, )"
"IPVA2";"AUDITA_CILINDRADA";1;"USUARIO";"VARCHAR2";30;"Y";;0;0;0;0;"NO";0;"";" (, )"
"IPVA2";"AUDITA_CILINDRADA";2;"USUARIO_OS";"VARCHAR2";30;"Y";;0;0;0;0;"NO";0;"";" (, )"
"IPVA2";"AUDITA_CILINDRADA";3;"TERMINAL";"VARCHAR2";30;"Y";;0;0;0;0;"NO";0;"";" (, )"
"IPVA2";"AUDITA_CILINDRADA";4;"PROGRAMA";"VARCHAR2";30;"Y";;0;0;0;0;"NO";0;"";" (, )"
"IPVA2";"AUDITA_CILINDRADA";5;"DATA";"DATE";7;"Y";;0;0;0;0;"NO";0;"";" (, )"
"IPVA2";"AUDITORIA_ENTIDADES";1;"SEQ_AUDITORIA";"NUMBER";22;"N";0;6;90631999;0;0,0000000110336306275226;"NO";1;"guarda a sequencia da auditoria";"PK_AUDITORIA_ENTIDADES (PRIMARY KEY, ENABLED); SYS_C001517585 (CHECK, ENABLED)"
"IPVA2";"AUDITORIA_ENTIDADES";2;"COD_MATRICULA_USUARIO";"VARCHAR2";255;"Y";;7;1222;33456690;0,000113;"NO";254;"guarda o codigo da matricula do usuario";" (, )"
"IPVA2";"AUDITORIA_ENTIDADES";3;"DAT_DATA_MODIFICACAO";"DATE";7;"Y";;8;30466048;0;0,0000000328234236353859;"NO";1;"Data e hora da inclusao/alteracao do registro.";" (, )"
"IPVA2";"AUDITORIA_ENTIDADES";4;"DAT_TIMESTAMP";"TIMESTAMP(6)";11;"Y";6;11;89653248;0;0,0000000111540855720029;"NO";1;"Representacao numerica do campo DAT_DATA_MODIFICACAO, exigido pelo hibernate.";" (, )"
"IPVA2";"AUTO_ESCOLA";1;"SEQ_AUTO_ESCOLA";"NUMBER";22;"N";0;5;1697;0;0,000589;"NO";254;"Chave primária da tabela.";"PK_AUTO_ESCOLA (PRIMARY KEY, ENABLED); SYS_C001527735 (CHECK, ENABLED)"
"IPVA2";"AUTO_ESCOLA";2;"NOM_RAZAO_SOCIAL";"VARCHAR2";150;"Y";;39;1044;0;0,000958;"NO";254;"Nome da razão social da Autoescola.";" (, )"
"IPVA2";"AUTO_ESCOLA";3;"NUM_CNPJ";"NUMBER";22;"Y";0;9;367;0;0,00272479564032698;"NO";1;"Número do CNPJ da Autoescola.";" (, )"
"IPVA2";"AUTO_ESCOLA";4;"DAT_CADASTRO";"DATE";7;"N";;8;1349;0;0,000661;"NO";254;"Data do cadastro do veículo na Autoescola.";"SYS_C001527736 (CHECK, ENABLED)"
"IPVA2";"AUTO_ESCOLA";5;"NUM_EXERCICIO";"NUMBER";22;"N";0;4;5;0;0,000294637595757219;"NO";5;"Identificação do ano de exercício.";"SYS_C001527737 (CHECK, ENABLED)"
"IPVA2";"AUTO_ESCOLA";6;"TIP_MOTIVO";"NUMBER";22;"Y";0;3;1;0;0,000294637595757219;"NO";1;"Tipo do motivo da atualização do registro da Autoescola. Ex: 1: Cadastramento 2: Renovação.";"CKC_TIP_MOTIVO_AUTO_ESCOLA (CHECK, ENABLED)"
"IPVA2";"AUTO_ESCOLA";7;"TIP_SITUACAO_AUTO_ESCOLA";"NUMBER";22;"Y";0;3;1;0;0,000294637595757219;"NO";1;"Tipo de situação da Autoescola Ex: 1: Ativa 2: Inativa.";"CKC_TIP_SITUACAO_AUTO_ESCOLA (CHECK, ENABLED)"
"IPVA2";"CERTIDAO_QUITACAO";1;"SEQ_CERTIDAO_QUITACAO";"NUMBER";22;"N";0;6;1750644;0;0,000000571218363070961;"NO";1;"Sequence da certidao de quitacao";"PK_CERTIDAO_QUITACAO (PRIMARY KEY, ENABLED); SYS_C001517607 (CHECK, ENABLED)"
"IPVA2";"CERTIDAO_QUITACAO";2;"NUM_CERTIDAO";"NUMBER";22;"Y";0;7;1562624;0;0,000001;"NO";254;"Guarda o número da certidao";" (, )"
