"OWNER";"TABLE_NAME";"COLUMN_ID";"COLUMN_NAME";"DATA_TYPE";"DATA_LENGTH";"NULLABLE";"DATA_SCALE";"AVG_COL_LEN";"NUM_DISTINCT";"NUM_NULLS";"DENSITY";"DEFAULT_ON_NULL";"NUM_BUCKETS";"COMMENTS";"CONSTRAINTS"
"SUANOTA";"APP_BLACK_LIST_DEVICE";1;"NU_UUID_BLOQUEADO";"VARCHAR2";36;"N";;0;0;0;0;"NO";0;"Número do UUID do device bloqueado";"SYS_C00247356 (CHECK, ENABLED)"
"SUANOTA";"APP_BLACK_LIST_DEVICE";2;"TX_MOTIVO_BLOQUEIO";"VARCHAR2";500;"N";;0;0;0;0;"NO";0;"Texto do motivo do bloqueio do device";"SYS_C00247357 (CHECK, ENABLED)"
"SUANOTA";"APP_BLACK_LIST_DEVICE";3;"ST_BLOQUEIO";"VARCHAR2";2;"N";;0;0;0;0;"NO";0;"Status do bloqueio do device
AT - Bloqueio Ativo
IN - Bloqueio Inativo";"SYS_C00247358 (CHECK, ENABLED)"
"SUANOTA";"APP_BLACK_LIST_DEVICE";4;"ID_SISTEMA";"NUMBER";22;"N";0;0;0;0;0;"NO";0;"FK relacionada a APP_SISTEMA.ID_SISTEMA";"APPBLLD_APPSIST_FK (FOREIGN KEY, ENABLED); SYS_C00247359 (CHECK, ENABLED)"
"SUANOTA";"APP_BLACK_LIST_DEVICE";5;"CD_USUARIO_BLOQUEIO";"VARCHAR2";150;"N";;0;0;0;0;"NO";0;"Usuário SET que bloqueou o device";"SYS_C00247360 (CHECK, ENABLED)"
"SUANOTA";"APP_BLACK_LIST_DEVICE";6;"TM_BLOQUEIO";"DATE";7;"N";;0;0;0;0;"NO";0;"Data/Hora do bloqueio do device pelo usuário SET";"SYS_C00247361 (CHECK, ENABLED)"
"SUANOTA";"APP_BLACK_LIST_DEVICE";7;"CD_USUARIO_DESBLOQUEIO";"VARCHAR2";150;"Y";;0;0;0;0;"NO";0;"Usuário SET que desbloqueou o device";" (, )"
"SUANOTA";"APP_BLACK_LIST_DEVICE";8;"TM_DESBLOQUEIO";"DATE";7;"Y";;0;0;0;0;"NO";0;"Data/Hora do desbloqueio do device pelo usuário SET";" (, )"
"SUANOTA";"APP_BLACK_LIST_DEVICE_HIST";1;"NU_UUID_BLOQUEADO";"VARCHAR2";36;"N";;0;0;0;0;"NO";0;"Número do UUID do device bloqueado";"SYS_C00247362 (CHECK, ENABLED)"
"SUANOTA";"APP_BLACK_LIST_DEVICE_HIST";2;"TX_MOTIVO_BLOQUEIO";"VARCHAR2";500;"N";;0;0;0;0;"NO";0;"Texto do motivo do bloqueio do device";"SYS_C00247363 (CHECK, ENABLED)"
