"OWNER";"TABLE_NAME";"COLUMN_ID";"COLUMN_NAME";"DATA_TYPE";"DATA_LENGTH";"NULLABLE";"DATA_SCALE";"AVG_COL_LEN";"NUM_DISTINCT";"NUM_NULLS";"DENSITY";"DEFAULT_ON_NULL";"NUM_BUCKETS";"COMMENTS";"CONSTRAINTS"
"TRAMITA";"ASPECTO";1;"SEQ_ASPECTO";"NUMBER";22;"N";0;3;5;0;0,2;"NO";1;"sequencial ";"PK_ASPECTO (PRIMARY KEY, ENABLED); SYS_C00263057 (CHECK, ENABLED)"
"TRAMITA";"ASPECTO";2;"STA_DESABILITADO";"NUMBER";22;"Y";0;2;1;0;1;"NO";1;"define se o registro está desabilitado";" (, )"
"TRAMITA";"ASPECTO";3;"NOM_ASPECTO";"VARCHAR2";100;"Y";;16;5;0;0,2;"NO";1;"nome do aspecto";" (, )"
"TRAMITA";"ASPECTO";4;"STA_SISTEMA";"NUMBER";22;"Y";0;3;2;0;0,5;"NO";1;"define se o aspecto é gerado pelo sistema";" (, )"
"TRAMITA";"ASPECTO";5;"TXT_VALOR";"VARCHAR2";255;"Y";;22;5;0;0,2;"NO";1;"Campo irá receber um texto com valor pre definido";" (, )"
"TRAMITA";"ASPECTO";6;"DSC_TITULO";"VARCHAR2";100;"Y";;20;5;0;0,2;"NO";1;"titulo  do aspecto";" (, )"
"TRAMITA";"ASPECTO_AUD";1;"REV";"NUMBER";22;"N";0;6;9;0;0,111111111111111;"NO";1;"envers audit column";"PK_ASPECTO_AUD (PRIMARY KEY, ENABLED); SYS_C00263059 (CHECK, ENABLED)"
"TRAMITA";"ASPECTO_AUD";2;"REVTYPE";"NUMBER";22;"N";0;3;2;0;0,5;"NO";1;"envers audit column";"SYS_C00263060 (CHECK, ENABLED)"
"TRAMITA";"ASPECTO_AUD";3;"SEQ_ASPECTO";"NUMBER";22;"N";0;3;5;0;0,2;"NO";1;"sequencial ";"PK_ASPECTO_AUD (PRIMARY KEY, ENABLED); SYS_C00263061 (CHECK, ENABLED)"
"TRAMITA";"ASPECTO_AUD";4;"STA_DESABILITADO";"NUMBER";22;"Y";0;3;2;0;0,5;"NO";1;"define se o registro está desabilitado";" (, )"
"TRAMITA";"ASPECTO_AUD";5;"NOM_ASPECTO";"VARCHAR2";100;"Y";;15;5;0;0,2;"NO";1;"nome ";" (, )"
"TRAMITA";"ASPECTO_AUD";6;"STA_SISTEMA";"NUMBER";22;"Y";0;3;2;0;0,5;"NO";1;"define se é gerado pelo sistema";" (, )"
"TRAMITA";"ASPECTO_AUD";7;"TXT_VALOR";"VARCHAR2";255;"Y";;22;5;0;0,2;"NO";1;"Campo irá receber O VALOR";" (, )"
"TRAMITA";"ASPECTO_AUD";8;"DSC_TITULO";"VARCHAR2";100;"Y";;19;5;0;0,2;"NO";1;"titulo  do aspecto";" (, )"
"TRAMITA";"ASSINADOR_FAVORITO";1;"SEQ_USUARIO_FISCAL";"NUMBER";22;"N";0;5;791;0;0,001123;"NO";254;"Sequencial Usuario Fiscal";"FK_ASSIS_FAVOR_FISCAL (FOREIGN KEY, ENABLED); SYS_C00248886 (CHECK, ENABLED)"
"TRAMITA";"ASSINADOR_FAVORITO";2;"SEQ_USUARIO_ASSINADOR_FAVORITO";"NUMBER";22;"N";0;5;712;0;0,000972;"NO";254;"Sequencial do usuario assinador";"FK_ASSIS_FAVOR_ASSINADOR (FOREIGN KEY, ENABLED); SYS_C00248887 (CHECK, ENABLED)"
